Gueymard_2002_unpublished	
4460	1.75571
4470	1.99
4480	2.014
4490	2.001
4500	2.069
4510	2.142
4520	2.04695
4530	1.8864
4540	2.018
4550	2.001
4560	2.063
4570	2.077
4580	2.032
4590	2.012
4600	1.99727
4610	2.06391
4620	2.078
4630	2.084
4640	2.01497
4650	1.984
4660	2.021
4670	1.931
4680	2.012
4690	2.018
4700	1.939
4710	1.969
4720	2.07
4730	1.98822
4740	2.012
4750	2.08
4760	2.012
4770	2.025
4780	2.086
4790	2.04
4800	2.068
4810	2.061
4820	2.06226
4830	2.031
4840	1.989
4850	1.979
4860	1.601
4870	1.789
4880	1.935
4890	1.82238
4900	2.032
4910	1.949
4920	1.856
4930	1.983
4940	1.93392
4950	2.051
4960	1.949
4970	1.98
4980	1.924
4990	1.923
5000	1.916
5010	1.858
5020	1.86
5030	1.949
5040	1.833
5050	1.94721
5060	2.025
5070	1.93538
5080	1.88
5090	1.965
5100	1.91
5110	1.941
5120	1.989
5130	1.866
5140	1.824
5150	1.875
5160	1.891
5170	1.539
5180	1.759
5190	1.704
5200	1.86
5210	1.873
5220	1.915
5230	1.804
5240	1.941
5250	1.928
5260	1.874
5270	1.641
5280	1.88
5290	1.969
5300	1.892
5310	1.995
5320	1.958
5330	1.747
5340	1.869
5350	1.895
5360	1.974
5370	1.824
5380	1.913
5390	1.864
5400	1.8
5410	1.734
5420	1.888
5430	1.851
5440	1.919
5450	1.874
5460	1.86091
5470	1.882
5480	1.826
5490	1.88
5500	1.863
5510	1.859
5520	1.896
5530	1.842
5540	1.878
5550	1.889
5560	1.857
5570	1.812
5580	1.853
5590	1.755
5600	1.786
5610	1.89
5620	1.801
5630	1.871
5640	1.836
5650	1.849
5660	1.75
5670	1.868
5680	1.859
5690	1.831
5700	1.828
5710	1.762
5720	1.872
5730	1.881
5740	1.873
5750	1.834
5760	1.818
5770	1.862
5780	1.799
5790	1.816
5800	1.834
5810	1.833
5820	1.852
5830	1.863
5840	1.854
5850	1.836
5860	1.792
5870	1.838
5880	1.821
5890	1.624
5900	1.72176
5910	1.809
5920	1.788
5930	1.792
5940	1.789
5950	1.778
5960	1.796
5970	1.806
5980	1.772
5990	1.764
6000	1.77
6010	1.742
6020	1.715
6030	1.749
6040	1.779
6050	1.773
6060	1.758
6070	1.762
6080	1.751
6090	1.734
6100	1.724
6110	1.712
6120	1.736
6130	1.71
6140	1.655
6150	1.712
6160	1.664
6170	1.641
6180	1.702
6190	1.709
6200	1.711
6210	1.724
6220	1.67843
6230	1.682
6240	1.667
6250	1.644
6260	1.64
6270	1.693
6280	1.693
6290	1.687
6300	1.665
6310	1.659
6320	1.59008
6330	1.674
6340	1.637
6350	1.652
6360	1.60934
6370	1.661
6380	1.665
6390	1.653
6400	1.613
6410	1.61
6420	1.609
6430	1.625
6440	1.614
6450	1.627
6460	1.591
6470	1.606
6480	1.602
6490	1.551
6500	1.526
6510	1.613
6520	1.591
6530	1.598
6540	1.575
6550	1.523
6560	1.3233
6570	1.384
6580	1.539
6590	1.542
6600	1.558
6610	1.566
6620	1.571
6630	1.563
6640	1.554
6650	1.567
6660	1.555
6670	1.53545
6680	1.53481
6690	1.558
6700	1.534
6710	1.529
6720	1.506
6730	1.517
6740	1.513
6750	1.499
6760	1.515
6770	1.5
6780	1.507
6790	1.493
6800	1.494
6810	1.487
6820	1.493
6830	1.476
6840	1.466
6850	1.465
6860	1.433
6870	1.472
6880	1.476
6890	1.478
6900	1.479
6910	1.468
6920	1.454
6930	1.458
6940	1.457
6950	1.435
6960	1.442
6970	1.438
6980	1.417
6990	1.434
7000	1.422
7010	1.41313
7020	1.39866
7030	1.40954
7040	1.41874
7050	1.43303
7060	1.41376
7070	1.404
7080	1.399
7090	1.39
7100	1.404
7110	1.39701
7120	1.38178
7130	1.37019
7140	1.38192
7150	1.35019
7160	1.36939
7170	1.365
7180	1.357
7190	1.301
7200	1.34872
7210	1.348
7220	1.36
7230	1.35104
7240	1.36068
7250	1.3465
7260	1.34287
7270	1.3444
7280	1.337
7290	1.27958
7300	1.33571
7310	1.3104
7320	1.33329
7330	1.31082
7340	1.339
7350	1.32709
7360	1.31
7370	1.312
7380	1.3
7390	1.26464
7400	1.28299
7410	1.27073
7420	1.26492
7430	1.2892
7440	1.29555
7450	1.292
7460	1.28918
7470	1.289
7480	1.28083
7490	1.276
7500	1.274
7510	1.268
7520	1.272
7530	1.265
7540	1.28091
7550	1.27713
7560	1.261
7570	1.25984
7580	1.268
7590	1.25
7600	1.259
7610	1.24867
7620	1.246
7630	1.25434
7640	1.25661
7650	1.2452
7660	1.2
7670	1.212
7680	1.231
7690	1.21421
7700	1.21456
7710	1.20732
7720	1.212
7730	1.21
7740	1.209
7750	1.208
7760	1.21023
7770	1.20276
7780	1.20143
7790	1.20668
7800	1.19301
7810	1.18981
7820	1.195
7830	1.18962
7840	1.181
7850	1.18743
7860	1.189
7870	1.1877
7880	1.18
7890	1.18125
7900	1.17042
7910	1.16323
7920	1.15
7930	1.14488
7940	1.126
7950	1.12804
7960	1.14266
7970	1.158
7980	1.15008
7990	1.135
8000	1.12482
8010	1.14267
8020	1.14221
8030	1.12411
8040	1.13418
8050	1.10013
8060	1.13095
8070	1.12305
8080	1.11623
8090	1.09804
8100	1.11
8110	1.11429
8120	1.116
8130	1.118
8140	1.11739
8150	1.10907
8160	1.10504
8170	1.10832
8180	1.08613
8190	1.07384
8200	1.074
8210	1.076
8220	1.056
8230	1.076
8240	1.07154
8250	1.06994
8260	1.07586
8270	1.07623
8280	1.07486
8290	1.062
8300	1.05627
8310	1.056
8320	1.055
8330	1.03266
8340	1.04591
8350	1.04757
8360	1.0597
8370	1.05108
8380	1.0549
8390	1.04
8400	1.05
8410	1.052
8420	1.02865
8430	1.02714
8440	1.014
8450	1.036
8460	1.037
8470	1.006
8480	1.011
8490	1.005
8500	0.91
8510	0.998
8520	0.99
8530	0.981
8540	0.869
8550	0.927
8560	0.99017
8570	1.00555
8580	1.007
8590	1.005
8600	1
8610	0.999
8620	1.006
8630	1.012
8640	0.99006
8650	0.97354
8660	0.858
8670	0.925
8680	0.969
8690	0.959
8700	0.977
8710	0.96317
8720	0.976
8730	0.96614
8740	0.94913
8750	0.93562
8760	0.962
8770	0.965
8780	0.962
8790	0.94571
8800	0.94856
8810	0.91963
8820	0.94408
8830	0.9393
8840	0.943515
8850	0.95469
8860	0.925585
8870	0.923
8880	0.94066
8890	0.943665
8900	0.942365
8910	0.939275
8920	0.932585
8930	0.918
8940	0.924
8950	0.926
8960	0.93425
8970	0.926865
8980	0.92378
8990	0.91396
9000	0.91378
9010	0.89834
9020	0.8772
9030	0.92233
9040	0.921
9050	0.918
9060	0.9078
9070	0.9145
9080	0.90143
9090	0.88552
9100	0.89496
9110	0.8973
9120	0.89016
9130	0.9002
9140	0.8982
9150	0.8883
9160	0.8947
9170	0.8886
9180	0.8881
9190	0.8921
9200	0.8854
9210	0.8703
9220	0.8628
9230	0.83335
9240	0.86957
9250	0.87642
9260	0.84561
9270	0.87809
9280	0.8711
9290	0.86954
9300	0.86866
9310	0.87078
9320	0.86514
9330	0.86958
9340	0.86709
9350	0.85601
9360	0.85222
9370	0.85368
9380	0.85936
9390	0.85676
9400	0.84
9410	0.83153
9420	0.80616
9430	0.83814
9440	0.81854
9450	0.82441
9460	0.83138
9470	0.82809
9480	0.83137
9490	0.83303
9500	0.82867
9510	0.82019
9520	0.82402
9530	0.8205
9540	0.812
9550	0.769
9560	0.802
9570	0.80583
9580	0.81147
9590	0.81483
9600	0.80627
9610	0.79982
9620	0.80173
9630	0.79761
9640	0.78808
9650	0.79579
9660	0.78598
9670	0.79503
9680	0.78526
9690	0.78789
9700	0.7914
9710	0.78186
9720	0.78785
9730	0.78149
9740	0.76882
9750	0.77348
9760	0.78054
9770	0.77208
9780	0.778
9790	0.7665
9800	0.77512
9810	0.773
9820	0.77879
9830	0.77541
9840	0.76881
9850	0.77081
9860	0.7662
9870	0.76606
9880	0.76368
9890	0.755
9900	0.75694
9910	0.76161
9920	0.75714
9930	0.75639
9940	0.75851
9950	0.75392
9960	0.75347
9970	0.743
9980	0.743
9990	0.742
10000	0.7425486
10010	0.74741415
10020	0.7467674
10030	0.73835965
10040	0.73133495
10050	0.68365455
10060	0.71770345
10070	0.730927
10080	0.7333946
10090	0.72934495
10100	0.7305489
10110	0.72562365
10120	0.724957
10130	0.7196039
10140	0.7226486
10150	0.71061905
10160	0.7141911
10170	0.7065893
10180	0.7156637
10190	0.6960622
10200	0.70126605
10210	0.703
10220	0.693
10230	0.699
10240	0.70057
10250	0.69918
10260	0.69943
10270	0.69594
10280	0.69722
10290	0.69
10300	0.69208
10310	0.68985
10320	0.6896
10330	0.678
10340	0.68181
10350	0.684
10360	0.68431
10370	0.67731
10380	0.674
10390	0.679
10400	0.6744
10410	0.6749
10420	0.67516
10430	0.6686
10440	0.67199
10450	0.66846
10460	0.65131
10470	0.66155
10480	0.66781
10490	0.66491
10500	0.66117
10510	0.66182
10520	0.65848
10530	0.65698
10540	0.65474
10550	0.65753
10560	0.65629
10570	0.6554
10580	0.64937
10590	0.63046
10600	0.64831
10610	0.63387
10620	0.64651
10630	0.63669
10640	0.64621
10650	0.64533
10660	0.63139
10670	0.63517
10680	0.63591
10690	0.60084
10700	0.62165
10710	0.62821
10720	0.63131
10730	0.61796
10740	0.63063
10750	0.61768
10760	0.62468
10770	0.62426
10780	0.62531
10790	0.61203
10800	0.6225
10810	0.60726
10820	0.60249
10830	0.609
10840	0.61392
10850	0.61181
10860	0.6157
10870	0.59145
10880	0.60728
10890	0.60908
10900	0.60442
10910	0.60799
10920	0.59692
10930	0.59221
10940	0.56065
10950	0.58252
10960	0.586
10970	0.591
10980	0.587
10990	0.58216
11000	0.6
11010	0.599
11020	0.58202
11030	0.595
11040	0.593
11050	0.591
11060	0.59
11070	0.586
11080	0.5865
11090	0.5855
11100	0.587
11110	0.5825
11120	0.58342
11130	0.578
11140	0.584
11150	0.582
11160	0.575
11170	0.583
11180	0.57222
11190	0.57151
11200	0.5685
11210	0.572
11220	0.575
11230	0.574
11240	0.5725
11250	0.57012
11260	0.553
11270	0.56179
11280	0.56829
11290	0.56837
11300	0.56401
11310	0.568
11320	0.57
11330	0.56186
11340	0.56346
11350	0.5625
11360	0.56481
11370	0.55197
11380	0.544
11390	0.553
11400	0.55572552
11410	0.54303214
11420	0.55530804
11430	0.54960248
11440	0.5450102
11450	0.55001002
11460	0.55406554
11470	0.55407548
11480	0.55031816
11490	0.54788286
11500	0.54623282
11510	0.5453084
11520	0.54170018
11530	0.54308184
11540	0.54651114
11550	0.54730634
11560	0.54021912
11570	0.54369812
11580	0.54334028
11590	0.53547774
11600	0.52927518
11610	0.51898728
11620	0.53336052
11630	0.53707808
11640	0.52683988
11650	0.5348217
11660	0.52226748
11670	0.52984176
11680	0.53414578
11690	0.51640288
11700	0.52874836
11710	0.53073636
11720	0.53062702
11730	0.52685976
11740	0.52759532
11750	0.5185201
11760	0.51035936
11770	0.52296328
11780	0.5170291
11790	0.5150411
11800	0.5219904
11810	0.5184333
11820	0.5174334
11830	0.4882086
11840	0.5109786
11850	0.5160474
11860	0.5151861
11870	0.5145525
11880	0.5101173
11890	0.4840209
11900	0.5058306
11910	0.5135427
11920	0.5117508
11930	0.510642
11940	0.5112657
11950	0.5059197
11960	0.5056128
11970	0.5028606
11980	0.4921686
11990	0.4743387
12000	0.500049
12010	0.505791
12020	0.5070483
12030	0.4883571
12040	0.4869612
12050	0.5019498
12060	0.4986927
12070	0.501435
12080	0.4896243
12090	0.4663593
12100	0.4922478
12110	0.4790907
12120	0.490644
12130	0.4919013
12140	0.4893174
12150	0.4904361
12160	0.4887828
12170	0.4876443
12180	0.485991
12190	0.4823379
12200	0.4843278
12210	0.4834269
12220	0.4813281
12230	0.476
12240	0.4822389
12250	0.4792491
12260	0.4802589
12270	0.4684086
12280	0.4744278
12290	0.4772493
12300	0.4750218
12310	0.4742496
12320	0.468963
12330	0.4711806
12340	0.469458
12350	0.4664385
12360	0.4686264
12370	0.4679037
12380	0.467478
12390	0.4623498
12400	0.4596768
12410	0.4643892
12420	0.4616865
12430	0.4565484
12440	0.4553505
12450	0.456
12460	0.4587462
12470	0.4577463
12480	0.4607559
12490	0.4601322
12500	0.4585977
12510	0.4563801
12520	0.4519548
12530	0.4537071
12540	0.4535784
12550	0.4530438
12560	0.4519152
12570	0.4487967
12580	0.4511628
12590	0.4479651
12600	0.4501827
12610	0.4492521
12620	0.4425201
12630	0.4482522
12640	0.4419756
12650	0.4426686
12660	0.4461534
12670	0.4391244
12680	0.4359366
12690	0.4404213
12700	0.4421241
12710	0.4428963
12720	0.4413024
12730	0.4408371
12740	0.4380651
12750	0.4407183
12760	0.4419162
12770	0.4418766
12780	0.4407381
12790	0.4379463
12800	0.4354317
12810	0.4226706
12820	0.3758931
12830	0.4115925
12840	0.4266702
12850	0.4290858
12860	0.4287789
12870	0.4303629
12880	0.4268385
12890	0.4275513
12900	0.4185126
12910	0.4215915
12920	0.4227795
12930	0.4226112
12940	0.4161465
12950	0.4194432
12960	0.4197897
12970	0.4171761
12980	0.412632
12990	0.4170078
13000	0.4153743
13010	0.4140378
13020	0.4095531
13030	0.407682
13040	0.4063158
13050	0.4102758
13060	0.4103946
13070	0.4095828
13080	0.4087314
13090	0.409068
13100	0.4071375
13110	0.4061079
13120	0.4031478
13130	0.3908421
13140	0.4027122
13150	0.3916242
13160	0.3942081
13170	0.4011579
13180	0.3954654
13190	0.4009302
13200	0.3987522
13210	0.3954456
13220	0.3953763
13230	0.3950199
13240	0.3951585
13250	0.3936933
13260	0.3922875
13270	0.388773
13280	0.3906243
13290	0.3794967
13300	0.3854763
13310	0.3876543
13320	0.3784968
13330	0.386991
13340	0.3868425
13350	0.3856347
13360	0.3823083
13370	0.3828528
13380	0.3809421
13390	0.3756951
13400	0.3743883
13410	0.38167512
13420	0.38019808
13430	0.37976894
13440	0.37985876
13450	0.37952942
13460	0.37553742
13470	0.37760328
13480	0.37663522
13490	0.3754975
13500	0.3708069
13510	0.37166518
13520	0.37532784
13530	0.37401048
13540	0.37294262
13550	0.36827198
13560	0.368761
13570	0.36438976
13580	0.36996858
13590	0.36903046
13600	0.36463926
13610	0.37026798
13620	0.3693598
13630	0.36185484
13640	0.36683486
13650	0.36628596
13660	0.3659167
13670	0.3624237
13680	0.3655674
13690	0.35886084
13700	0.35912032
13710	0.35948958
13720	0.36313228
13730	0.36294266
13740	0.36291272
13750	0.35749358
13760	0.35350158
13770	0.35790276
13780	0.35651554
13790	0.36034786
13800	0.35682492
13810	0.35784288
13820	0.3527431
13830	0.35376106
13840	0.3559367
13850	0.35242374
13860	0.35492872
13870	0.35135588
13880	0.35277304
13890	0.35406046
13900	0.34736388
13910	0.35242374
13920	0.351795
13930	0.35007844
13940	0.3476034
13950	0.34754352
13960	0.34942974
13970	0.34931996
13980	0.34951956
13990	0.34886088
14000	0.33896072
14010	0.33929376
14020	0.34411488
14030	0.34013696
14040	0.34105952
14050	0.34011712
14060	0.3416448
14070	0.3408512
14080	0.34006752
14090	0.34117856
14100	0.34046432
14110	0.33766688
14120	0.3291952
14130	0.33289536
14140	0.33704192
14150	0.33707168
14160	0.33502816
14170	0.3374784
14180	0.3377264
14190	0.3339072
14200	0.33269696
14210	0.33594218
14220	0.32874562
14230	0.32883508
14240	0.3277218
14250	0.33256258
14260	0.32305994
14270	0.32745342
14280	0.3303559
14290	0.32346748
14300	0.32277168
14310	0.32421298
14320	0.33114116
14330	0.33067398
14340	0.3250877
14350	0.32731426
14360	0.32661846
14370	0.32786096
14380	0.32601212
14390	0.32855676
14400	0.31269252
14410	0.31694684
14420	0.3158435
14430	0.31780168
14440	0.31911376
14450	0.31929268
14460	0.32135026
14470	0.31760288
14480	0.3209626
14490	0.32025686
14500	0.31774204
14510	0.31366664
14520	0.31354736
14530	0.31538626
14540	0.31282174
14550	0.31209612
14560	0.30956142
14570	0.3124142
14580	0.31612182
14590	0.31746372
14600	0.31366664
14610	0.31308018
14620	0.3101777
14630	0.30822946
14640	0.30819964
14650	0.31157924
14660	0.30695714
14670	0.31321934
14680	0.30750384
14690	0.31200666
14700	0.31009818
14710	0.30413728
14720	0.30581376
14730	0.30551616
14740	0.2970544
14750	0.30349248
14760	0.30369088
14770	0.30250048
14780	0.30228224
14790	0.30461344
14800	0.30626016
14810	0.30178624
14820	0.30462336
14830	0.29812576
14840	0.3017168
14850	0.30607168
14860	0.30167712
14870	0.29989152
14880	0.26525088
14890	0.29909792
14900	0.30093312
14910	0.30174656
14920	0.29772896
14930	0.30200448
14940	0.30189536
14950	0.30074464
14960	0.2914
14970	0.29683616
14980	0.29945504
14990	0.29527872
15000	0.3007744
15010	0.29990144
15020	0.29743136
15030	0.26919904
15040	0.28318624
15050	0.27149056
15060	0.28367232
15070	0.29376096
15080	0.29027904
15090	0.28804704
15100	0.29393952
15110	0.29445536
15120	0.28845376
15130	0.28729312
15140	0.2850016
15150	0.28806688
15160	0.2871968
15170	0.28525655
15180	0.2897042
15190	0.2849481
15200	0.28786345
15210	0.2808288
15220	0.2803114
15230	0.28448045
15240	0.28459985
15250	0.2784607
15260	0.285963
15270	0.28296805
15280	0.28489835
15290	0.2828984
15300	0.26730675
15310	0.2827193
15320	0.28262975
15330	0.2804109
15340	0.27542595
15350	0.27753535
15360	0.28058005
15370	0.28095815
15380	0.27337625
15390	0.2780826
15400	0.2685704
15410	0.2729683
15420	0.2753563
15430	0.27498815
15440	0.27715725
15450	0.2776846
15460	0.27721695
15470	0.27353545
15480	0.2669784
15490	0.2726698
15500	0.2696052
15510	0.27074945
15520	0.2740031
15530	0.2708987
15540	0.2649486
15550	0.2671177
15560	0.2629188
15570	0.27013255
15580	0.268053
15590	0.26780425
15600	0.26545605
15610	0.2696752
15620	0.26832608
15630	0.26687776
15640	0.26306848
15650	0.26681824
15660	0.26262208
15670	0.2635248
15680	0.26041984
15690	0.26275104
15700	0.26067776
15710	0.26667936
15720	0.26693728
15730	0.26343552
15740	0.26220544
15750	0.24738496
15760	0.26031072
15770	0.23689952
15780	0.2572256
15790	0.26166976
15800	0.26381248
15810	0.26483424
15820	0.25412064
15830	0.25771168
15840	0.25448768
15850	0.26197728
15860	0.258168
15870	0.25492416
15880	0.25048
15890	0.23152288
15900	0.24154208
15910	0.24132384
15920	0.2528608
15930	0.25751328
15940	0.256432
15950	0.25765216
15960	0.24451808
15970	0.24853568
15980	0.25629312
15990	0.24976576
16000	0.25259296
16010	0.24493915
16020	0.2485709
16030	0.2490087
16040	0.2500236
16050	0.24702865
16060	0.2474764
16070	0.24543665
16080	0.24999375
16090	0.24858085
16100	0.23311855
16110	0.24078005
16120	0.2412477
16130	0.24581475
16140	0.2434964
16150	0.24434215
16160	0.23248175
16170	0.23644185
16180	0.2441531
16190	0.2422427
16200	0.23407375
16210	0.2338648
16220	0.23701895
16230	0.24165565
16240	0.2424019
16250	0.23745675
16260	0.2395761
16270	0.2403721
16280	0.2414865
16290	0.2411084
16300	0.2365513
16310	0.2393174
16320	0.2388398
16330	0.2358548
16340	0.23276035
16350	0.23734592
16360	0.23676064
16370	0.2274656
16380	0.22707872
16390	0.22204928
16400	0.22570976
16410	0.22393408
16420	0.22402336
16430	0.22879488
16440	0.22571968
16450	0.22512448
16460	0.22899328
16470	0.2291024
16480	0.22898336
16490	0.22353728
16500	0.22839808
16510	0.22369164
16520	0.22802424
16530	0.22532508
16540	0.2265402
16550	0.2239008
16560	0.22607208
16570	0.2256438
16580	0.22531512
16590	0.2222076
16600	0.22411992
16610	0.22543464
16620	0.22420956
16630	0.22264584
16640	0.22251636
16650	0.22137096
16660	0.2185326
16670	0.2201562
16680	0.2161665
16690	0.2180871
16700	0.2220768
16710	0.2209581
16720	0.2120976
16730	0.2160576
16740	0.2190672
16750	0.2162061
16760	0.2131866
16770	0.2154834
16780	0.2158497
16790	0.212949
16800	0.2064051
16810	0.1984752
16820	0.2034054
16830	0.2089296
16840	0.2119788
16850	0.2130579
16860	0.2102562
16870	0.2112264
16880	0.2108106
16890	0.2080485
16900	0.2084544
16910	0.21202848
16920	0.21210816
16930	0.21122172
16940	0.21068388
16950	0.2105544
16960	0.20961816
16970	0.20850264
16980	0.20879148
16990	0.20804448
17000	0.20538516
17020	0.2052
17050	0.20428
17100	0.19894
17150	0.20189
17200	0.19799
17250	0.19688
17300	0.19309
17350	0.182
17400	0.19001
17450	0.18624
17500	0.18518
17550	0.18509
17600	0.18243
17650	0.18143
17700	0.17969
17750	0.176
17800	0.17553
17850	0.17411
17900	0.17371
17950	0.17102
18000	0.168
18050	0.16884
18100	0.16859
18150	0.155
18200	0.16
18250	0.16257
18300	0.15921
18350	0.1576
18400	0.15552
18450	0.15288
18500	0.15337
18550	0.15126
18600	0.14933
18650	0.1471
18700	0.14565
18750	0.13231
18800	0.14667
18850	0.14573
18900	0.14041
18950	0.13842
19000	0.14041
19050	0.13904
19100	0.13654
19150	0.13611
19200	0.13463
19250	0.13447
19300	0.13145
19350	0.13243
19400	0.1295
19450	0.1195
19500	0.12627
19550	0.12833
19600	0.1261
19650	0.12291
19700	0.12375
19750	0.1215
19800	0.11968
19850	0.11902
19900	0.11977
19950	0.11684
20000	0.11673
20050	0.11501
20100	0.11512
20150	0.11399
20200	0.11192
20250	0.11176
20300	0.10969
20350	0.10915
20400	0.1072
20450	0.10756
20500	0.10592
20550	0.10471
20600	0.1032
20650	0.10182
20700	0.10095
20750	0.10095
20800	0.09933
20850	0.0983
20900	0.09754
20950	0.09599
21000	0.09624
21050	0.09575
21100	0.09463
21150	0.09385
21200	0.09314
21250	0.09218
21300	0.09238
21350	0.09112
21400	0.09105
21450	0.08994
21500	0.08971
21550	0.08888
21600	0.08789
21650	0.082
21700	0.08537
21750	0.08576
21800	0.08464
21850	0.08468
21900	0.08314
21950	0.08347
22000	0.08279
22050	0.0809
22100	0.08081
22150	0.08041
22200	0.07999
22250	0.07884
22300	0.0784
22350	0.07793
22400	0.07651
22450	0.07625
22500	0.07537
22550	0.07434
22600	0.07409
22650	0.07328
22700	0.0731
22750	0.07263
22800	0.07139
22850	0.07138
22900	0.07119
22950	0.0693
23000	0.06964
23050	0.0694
23100	0.0689
23150	0.06815
23200	0.06763
23250	0.06556
23300	0.06622
23350	0.06572
23400	0.06522
23450	0.0651
23500	0.06434
23550	0.0626
23600	0.06307
23650	0.06301
23700	0.06239
23750	0.06141
23800	0.06181
23850	0.05913
23900	0.06036
23950	0.06007
24000	0.05974
24050	0.05944
24100	0.05915
24150	0.05698
24200	0.05782
24250	0.05733
24300	0.05719
24350	0.05647
24400	0.05627
24450	0.05556
24500	0.05459
24550	0.05416
24600	0.05451
24650	0.0543
24700	0.0534
24750	0.05337
24800	0.0521
24850	0.05177
24900	0.05222
24950	0.04889
25000	0.05138
25050	0.05082
25100	0.0496
25150	0.04876
25200	0.04814
25250	0.04765
25300	0.0477
25350	0.04712
25400	0.04677
25450	0.04661
25500	0.04626
25550	0.04593
25600	0.0454
25650	0.04516
25700	0.04485
25750	0.04448
25800	0.0441
25850	0.04327
25900	0.04341
25950	0.04304
26000	0.04291
26050	0.0428
26100	0.0425
26150	0.04228
26200	0.0419
26250	0.04058
26300	0.04116
26350	0.04096
26400	0.04022
26450	0.04018
26500	0.03996
26550	0.03959
26600	0.03948
26650	0.03895
26700	0.0391
26750	0.03861
26800	0.03843
26850	0.03816
26900	0.03779
26950	0.03746
27000	0.03712
