ASTM_E490_interpolated	
8710	0.9790
8720	0.9833
8730	0.9773
8740	0.9713
8750	0.9677
8760	0.9640
8770	0.9695
8780	0.9749
8790	0.9652
8800	0.9554
8810	0.9533
8820	0.9511
8830	0.9545
8840	0.9579
8850	0.9481
8860	0.9383
8870	0.9413
8880	0.9443
8890	0.9487
8900	0.9530
8910	0.9462
8920	0.9394
8930	0.9363
8940	0.9332
8950	0.9360
8960	0.9387
8970	0.9363
8980	0.9339
8990	0.9249
9000	0.9158
9010	0.9037
9020	0.8916
9030	0.9101
9040	0.9285
9050	0.9231
9060	0.9176
9070	0.9101
9080	0.9025
9090	0.8971
9100	0.8916
9110	0.8942
9120	0.8967
9130	0.9019
9140	0.9071
9150	0.9038
9160	0.9004
9170	0.8978
9180	0.8951
9190	0.8930
9200	0.8908
9210	0.8769
9220	0.8630
9230	0.8608
9240	0.8585
9250	0.8599
9260	0.8612
9270	0.8691
9280	0.8769
9290	0.8723
9300	0.8677
9310	0.8664
9320	0.8651
9330	0.8646
9340	0.8641
9350	0.8594
9360	0.8547
9370	0.8564
9380	0.8580
9390	0.8509
9400	0.8438
9410	0.8344
9420	0.8250
9430	0.8287
9440	0.8324
9450	0.8350
9460	0.8375
9470	0.8391
9480	0.8407
9490	0.8388
9500	0.8369
9510	0.8343
9520	0.8317
9530	0.8199
9540	0.8080
9550	0.8081
9560	0.8082
9570	0.8135
9580	0.8188
9590	0.8170
9600	0.8151
9610	0.8120
9620	0.8089
9630	0.8051
9640	0.8013
9650	0.7980
9660	0.7947
9670	0.7958
9680	0.7969
9690	0.7964
9700	0.7959
9710	0.7948
9720	0.7936
9730	0.7876
9740	0.7815
9750	0.7820
9760	0.7825
9770	0.7802
9780	0.7779
9790	0.7763
9800	0.7746
9810	0.7755
9820	0.7764
9830	0.7731
9840	0.7698
9850	0.7680
9860	0.7661
9870	0.7638
9880	0.7615
9890	0.7578
9900	0.7541
9910	0.7554
9920	0.7567
9930	0.7562
9940	0.7556
9950	0.7541
9960	0.7525
9970	0.7518
9980	0.7510
9990	0.7495
10000	0.7479
10010	0.7474
10020	0.7469
10030	0.7365
10040	0.7261
10050	0.7199
10060	0.7136
10070	0.7236
10080	0.7335
10090	0.7324
10100	0.7313
10110	0.7288
10120	0.7262
10130	0.7236
10140	0.7210
10150	0.7175
10160	0.7139
10170	0.7123
10180	0.7107
10190	0.7074
10200	0.7041
10210	0.7031
10220	0.7021
10230	0.7038
10240	0.7054
10250	0.7041
10260	0.7027
10270	0.7008
10280	0.6989
10290	0.6963
10300	0.6937
10310	0.6921
10320	0.6905
10330	0.6861
10340	0.6817
10350	0.6829
10360	0.6840
10370	0.6806
10380	0.6772
10390	0.6767
10400	0.6761
10410	0.6754
10420	0.6746
10430	0.6730
10440	0.6714
10450	0.6657
10460	0.6600
10470	0.6622
10480	0.6644
10490	0.6633
10500	0.6622
10510	0.6604
10520	0.6586
10530	0.6568
10540	0.6549
10550	0.6553
10560	0.6557
10570	0.6504
10580	0.6451
10590	0.6433
10600	0.6415
10610	0.6427
10620	0.6438
10630	0.6449
10640	0.6459
10650	0.6427
10660	0.6395
10670	0.6356
10680	0.6317
10690	0.6279
10700	0.6241
10710	0.6284
10720	0.6326
10730	0.6301
10740	0.6276
10750	0.6278
10760	0.6280
10770	0.6276
10780	0.6272
10790	0.6260
10800	0.6247
10810	0.6173
10820	0.6099
10830	0.6140
10840	0.6180
10850	0.6194
10860	0.6208
10870	0.6156
10880	0.6103
10890	0.6151
10900	0.6199
10910	0.6179
10920	0.6159
10930	0.6004
10940	0.5849
10950	0.5916
10960	0.5983
10970	0.5972
10980	0.5961
10990	0.6002
11000	0.6042
11010	0.5987
11020	0.5932
11030	0.5953
11040	0.5974
11050	0.5960
11060	0.5945
11070	0.5931
11080	0.5916
11090	0.5911
11100	0.5906
11110	0.5875
11120	0.5843
11130	0.5844
11140	0.5844
11150	0.5838
11160	0.5831
11170	0.5823
11180	0.5815
11190	0.5778
11200	0.5741
11210	0.5769
11220	0.5796
11230	0.5783
11240	0.5769
11250	0.5712
11260	0.5655
11270	0.5678
11280	0.5700
11290	0.5677
11300	0.5653
11310	0.5666
11320	0.5678
11330	0.5658
11340	0.5638
11350	0.5648
11360	0.5658
11370	0.5614
11380	0.5569
11390	0.5550
11400	0.5530
11410	0.5531
11420	0.5531
11430	0.5523
11440	0.5514
11450	0.5531
11460	0.5548
11470	0.5537
11480	0.5525
11490	0.5507
11500	0.5489
11510	0.5474
11520	0.5458
11530	0.5469
11540	0.5479
11550	0.5467
11560	0.5455
11570	0.5445
11580	0.5435
11590	0.5378
11600	0.5320
11610	0.5323
11620	0.5325
11630	0.5329
11640	0.5332
11650	0.5318
11660	0.5303
11670	0.5308
11680	0.5312
11690	0.5294
11700	0.5276
11710	0.5296
11720	0.5315
11730	0.5294
11740	0.5273
11750	0.5229
11760	0.5184
11770	0.5187
11780	0.5190
11790	0.5215
11800	0.5239
11810	0.5199
11820	0.5159
11830	0.5131
11840	0.5103
11850	0.5145
11860	0.5187
11870	0.5131
11880	0.5075
11890	0.5080
11900	0.5085
11910	0.5123
11920	0.5161
11930	0.5153
11940	0.5145
11950	0.5115
11960	0.5084
11970	0.5014
11980	0.4943
11990	0.4973
12000	0.5003
12010	0.5036
12020	0.5068
12030	0.5008
12040	0.4948
12050	0.4994
12060	0.5039
12070	0.4965
12080	0.4890
12090	0.4886
12100	0.4882
12110	0.4908
12120	0.4933
12130	0.4938
12140	0.4942
12150	0.4936
12160	0.4930
12170	0.4914
12180	0.4897
12190	0.4886
12200	0.4875
12210	0.4865
12220	0.4854
12230	0.4850
12240	0.4846
12250	0.4832
12260	0.4817
12270	0.4794
12280	0.4771
12290	0.4782
12300	0.4792
12310	0.4771
12320	0.4750
12330	0.4740
12340	0.4729
12350	0.4724
12360	0.4719
12370	0.4711
12380	0.4703
12390	0.4678
12400	0.4653
12410	0.4648
12420	0.4642
12430	0.4631
12440	0.4619
12450	0.4627
12460	0.4635
12470	0.4634
12480	0.4633
12490	0.4629
12500	0.4624
12510	0.4598
12520	0.4571
12530	0.4573
12540	0.4574
12550	0.4563
12560	0.4551
12570	0.4542
12580	0.4533
12590	0.4532
12600	0.4530
12610	0.4514
12620	0.4497
12630	0.4488
12640	0.4478
12650	0.4473
12660	0.4467
12670	0.4442
12680	0.4417
12690	0.4435
12700	0.4453
12710	0.4453
12720	0.4452
12730	0.4442
12740	0.4431
12750	0.4441
12760	0.4451
12770	0.4446
12780	0.4440
12790	0.4398
12800	0.4356
12810	0.4185
12820	0.4014
12830	0.4137
12840	0.4259
12850	0.4294
12860	0.4328
12870	0.4321
12880	0.4314
12890	0.4285
12900	0.4255
12910	0.4255
12920	0.4254
12930	0.4239
12940	0.4223
12950	0.4224
12960	0.4224
12970	0.4204
12980	0.4184
12990	0.4185
13000	0.4186
13010	0.4163
13020	0.4139
13030	0.4125
13040	0.4111
13050	0.4124
13060	0.4136
13070	0.4130
13080	0.4123
13090	0.4115
13100	0.4106
13110	0.4070
13120	0.4033
13130	0.4028
13140	0.4022
13150	0.4001
13160	0.3979
13170	0.3998
13180	0.4017
13190	0.4017
13200	0.4016
13210	0.4001
13220	0.3986
13230	0.3984
13240	0.3981
13250	0.3965
13260	0.3949
13270	0.3929
13280	0.3908
13290	0.3893
13300	0.3878
13310	0.3871
13320	0.3863
13330	0.3878
13340	0.3892
13350	0.3879
13360	0.3866
13370	0.3849
13380	0.3832
13390	0.3811
13400	0.3790
13410	0.3798
13420	0.3805
13430	0.3802
13440	0.3798
13450	0.3785
13460	0.3772
13470	0.3769
13480	0.3766
13490	0.3745
13500	0.3724
13510	0.3733
13520	0.3742
13530	0.3732
13540	0.3722
13550	0.3699
13560	0.3675
13570	0.3682
13580	0.3688
13590	0.3681
13600	0.3673
13610	0.3675
13620	0.3677
13630	0.3667
13640	0.3657
13650	0.3657
13660	0.3657
13670	0.3643
13680	0.3628
13690	0.3614
13700	0.3599
13710	0.3610
13720	0.3621
13730	0.3616
13740	0.3611
13750	0.3586
13760	0.3561
13770	0.3571
13780	0.3580
13790	0.3580
13800	0.3579
13810	0.3562
13820	0.3545
13830	0.3546
13840	0.3547
13850	0.3540
13860	0.3532
13870	0.3531
13880	0.3530
13890	0.3518
13900	0.3506
13910	0.3510
13920	0.3513
13930	0.3501
13940	0.3488
13950	0.3488
13960	0.3487
13970	0.3490
13980	0.3492
13990	0.3460
14000	0.3427
14010	0.3433
14020	0.3439
14030	0.3434
14040	0.3428
14050	0.3430
14060	0.3431
14070	0.3429
14080	0.3427
14090	0.3423
14100	0.3418
14110	0.3383
14120	0.3348
14130	0.3363
14140	0.3377
14150	0.3381
14160	0.3385
14170	0.3386
14180	0.3386
14190	0.3372
14200	0.3357
14210	0.3336
14220	0.3315
14230	0.3313
14240	0.3311
14250	0.3296
14260	0.3281
14270	0.3283
14280	0.3285
14290	0.3271
14300	0.3257
14310	0.3279
14320	0.3300
14330	0.3292
14340	0.3284
14350	0.3285
14360	0.3285
14370	0.3284
14380	0.3283
14390	0.3236
14400	0.3188
14410	0.3187
14420	0.3186
14430	0.3192
14440	0.3197
14450	0.3207
14460	0.3216
14470	0.3216
14480	0.3216
14490	0.3202
14500	0.3187
14510	0.3171
14520	0.3154
14530	0.3149
14540	0.3143
14550	0.3137
14560	0.3131
14570	0.3149
14580	0.3167
14590	0.3162
14600	0.3156
14610	0.3139
14620	0.3121
14630	0.3113
14640	0.3105
14650	0.3107
14660	0.3108
14670	0.3111
14680	0.3114
14690	0.3108
14700	0.3102
14710	0.3088
14720	0.3073
14730	0.3054
14740	0.3034
14750	0.3041
14760	0.3048
14770	0.3046
14780	0.3044
14790	0.3056
14800	0.3068
14810	0.3056
14820	0.3044
14830	0.3042
14840	0.3039
14850	0.3036
14860	0.3033
14870	0.2944
14880	0.2855
14890	0.2935
14900	0.3015
14910	0.3017
14920	0.3018
14930	0.3026
14940	0.3033
14950	0.3003
14960	0.2972
14970	0.2983
14980	0.2994
14990	0.3003
15000	0.3011
15010	0.2968
15020	0.2924
15030	0.2862
15040	0.2799
15050	0.2824
15060	0.2848
15070	0.2884
15080	0.2919
15090	0.2933
15100	0.2947
15110	0.2930
15120	0.2913
15130	0.2898
15140	0.2883
15150	0.2883
15160	0.2882
15170	0.2883
15180	0.2884
15190	0.2875
15200	0.2866
15210	0.2845
15220	0.2824
15230	0.2830
15240	0.2835
15250	0.2841
15260	0.2846
15270	0.2846
15280	0.2846
15290	0.2806
15300	0.2765
15310	0.2794
15320	0.2823
15330	0.2804
15340	0.2784
15350	0.2795
15360	0.2806
15370	0.2790
15380	0.2773
15390	0.2752
15400	0.2730
15410	0.2742
15420	0.2753
15430	0.2766
15440	0.2778
15450	0.2775
15460	0.2772
15470	0.2742
15480	0.2711
15490	0.2712
15500	0.2713
15510	0.2722
15520	0.2731
15530	0.2704
15540	0.2676
15550	0.2674
15560	0.2671
15570	0.2680
15580	0.2689
15590	0.2686
15600	0.2683
15610	0.2690
15620	0.2697
15630	0.2683
15640	0.2669
15650	0.2662
15660	0.2654
15670	0.2644
15680	0.2633
15690	0.2639
15700	0.2645
15710	0.2659
15720	0.2673
15730	0.2642
15740	0.2610
15750	0.2573
15760	0.2536
15770	0.2542
15780	0.2547
15790	0.2599
15800	0.2650
15810	0.2620
15820	0.2590
15830	0.2591
15840	0.2591
15850	0.2595
15860	0.2599
15870	0.2545
15880	0.2490
15890	0.2448
15900	0.2405
15910	0.2466
15920	0.2526
15930	0.2555
15940	0.2583
15950	0.2545
15960	0.2506
15970	0.2526
15980	0.2545
15990	0.2529
16000	0.2512
16010	0.2501
16020	0.2489
16030	0.2493
16040	0.2497
16050	0.2487
16060	0.2477
16070	0.2484
16080	0.2491
16090	0.2446
16100	0.2400
16110	0.2415
16120	0.2430
16130	0.2440
16140	0.2449
16150	0.2412
16160	0.2374
16170	0.2399
16180	0.2423
16190	0.2396
16200	0.2369
16210	0.2376
16220	0.2383
16230	0.2400
16240	0.2416
16250	0.2409
16260	0.2402
16270	0.2410
16280	0.2418
16290	0.2406
16300	0.2393
16310	0.2390
16320	0.2387
16330	0.2373
16340	0.2359
16350	0.2358
16360	0.2357
16370	0.2316
16380	0.2274
16390	0.2268
16400	0.2262
16410	0.2264
16420	0.2266
16430	0.2272
16440	0.2278
16450	0.2286
16460	0.2294
16470	0.2293
16480	0.2292
16490	0.2282
16500	0.2272
16510	0.2270
16520	0.2268
16530	0.2265
16540	0.2262
16550	0.2261
16560	0.2260
16570	0.2256
16580	0.2252
16590	0.2249
16600	0.2245
16610	0.2246
16620	0.2246
16630	0.2237
16640	0.2227
16650	0.2220
16660	0.2212
16670	0.2203
16680	0.2193
16690	0.2209
16700	0.2225
16710	0.2199
16720	0.2173
16730	0.2183
16740	0.2193
16750	0.2177
16760	0.2161
16770	0.2165
16780	0.2168
16790	0.2124
16800	0.2080
16810	0.2067
16820	0.2054
16830	0.2092
16840	0.2129
16850	0.2130
16860	0.2131
16870	0.2126
16880	0.2120
16890	0.2113
16900	0.2105
16910	0.2114
16920	0.2123
16930	0.2118
16940	0.2112
16950	0.2106
16960	0.2100
16970	0.2095
16980	0.2089
16990	0.2076
17000	0.2063
17020	0.1993
17050	0.2051
17100	0.2013
17150	0.2030
17200	0.1993
17250	0.1968
17300	0.1984
17350	0.1851
17400	0.1905
17450	0.1887
17500	0.1858
17550	0.1853
17600	0.1831
17650	0.1812
17700	0.1791
17750	0.1778
17800	0.1756
17850	0.1737
17900	0.1733
17950	0.1708
18000	0.1699
18050	0.1688
18100	0.1686
18150	0.1632
18200	0.1596
18250	0.1626
18300	0.1606
18350	0.1583
18400	0.1562
18450	0.1538
18500	0.1546
18550	0.1517
18600	0.1503
18650	0.1502
18700	0.1508
18750	0.1350
18800	0.1462
18850	0.1452
18900	0.1424
18950	0.1385
19000	0.1397
19050	0.1388
19100	0.1378
19150	0.1365
19200	0.1333
19250	0.1343
19300	0.1313
19350	0.1324
19400	0.1299
19450	0.1198
19500	0.1261
19550	0.1281
19600	0.1261
19650	0.1227
19700	0.1239
19750	0.1216
19800	0.1196
19850	0.1188
19900	0.1198
19950	0.1168
20000	0.1170
20050	0.1148
20100	0.1149
20150	0.1138
20200	0.1116
20250	0.1116
20300	0.1086
20350	0.1088
20400	0.1078
20450	0.1074
20500	0.1059
20550	0.1046
20600	0.1028
20650	0.1015
20700	0.1003
20750	0.1008
20800	0.0988
20850	0.0981
20900	0.0979
20950	0.0959
21000	0.0961
21050	0.0957
21100	0.0940
21150	0.0938
21200	0.0928
21250	0.0920
21300	0.0921
21350	0.0908
21400	0.0908
21450	0.0897
21500	0.0896
21550	0.0888
21600	0.0878
21650	0.0815
21700	0.0856
21750	0.0856
21800	0.0850
21850	0.0846
21900	0.0830
21950	0.0833
22000	0.0827
22050	0.0809
22100	0.0808
22150	0.0803
22200	0.0800
22250	0.0787
22300	0.0783
22350	0.0778
22400	0.0764
22450	0.0762
22500	0.0754
22550	0.0741
22600	0.0742
22650	0.0732
22700	0.0730
22750	0.0725
22800	0.0717
22850	0.0712
22900	0.0711
22950	0.0691
23000	0.0695
23050	0.0693
23100	0.0687
23150	0.0680
23200	0.0677
23250	0.0655
23300	0.0662
23350	0.0655
23400	0.0652
23450	0.0650
23500	0.0645
23550	0.0626
23600	0.0631
23650	0.0629
23700	0.0621
23750	0.0612
23800	0.0617
23850	0.0590
23900	0.0603
23950	0.0600
24000	0.0594
24050	0.0593
24100	0.0590
24150	0.0567
24200	0.0577
24250	0.0572
24300	0.0571
24350	0.0563
24400	0.0564
24450	0.0555
24500	0.0546
24550	0.0541
24600	0.0546
24650	0.0542
24700	0.0529
24750	0.0533
24800	0.0518
24850	0.0519
24900	0.0523
24950	0.0516
25000	0.0516
25050	0.0511
25100	0.0507
25150	0.0503
25200	0.0498
25250	0.0494
25300	0.0490
25350	0.0486
25400	0.0481
25450	0.0478
25500	0.0474
25550	0.0471
25600	0.0467
25650	0.0464
25700	0.0461
25750	0.0458
25800	0.0455
25850	0.0453
25900	0.0450
25950	0.0448
26000	0.0446
26050	0.0442
26100	0.0438
26150	0.0434
26200	0.0431
26250	0.0428
26300	0.0426
26350	0.0423
26400	0.0421
26450	0.0418
26500	0.0415
26550	0.0411
26600	0.0408
26650	0.0405
26700	0.0402
26750	0.0400
26800	0.0397
26850	0.0394
26900	0.0392
26950	0.0389
27000	0.0387
27050	0.0384
27100	0.0382
27150	0.0379
