Gueymard_2004	
8070	1.112
8080	1.11
8090	1.101
8100	1.104
8110	1.115
8120	1.116
8130	1.118
8140	1.111
8150	1.105
8160	1.103
8170	1.099
8180	1.077
8190	1.071
8200	1.064
8210	1.063
8220	1.065
8230	1.076
8240	1.073
8250	1.07
8260	1.078
8270	1.076
8280	1.07
8290	1.063
8300	1.06
8310	1.054
8320	1.057
8330	1.024
8340	1.029
8350	1.045
8360	1.05
8370	1.045
8380	1.029
8390	1.026
8400	1.043
8410	1.037
8420	1.028
8430	1.016
8440	1.009
8450	1.033
8460	1.027
8470	1.004
8480	1.003
8490	0.9749
8500	0.933
8510	0.9939
8520	0.9844
8530	0.9427
8540	0.8179
8550	0.893
8560	0.9783
8570	0.9964
8580	0.9905
8590	0.9894
8600	0.9896
8610	0.9847
8620	0.9994
8630	1.023
8640	0.9716
8650	0.9627
8660	0.8656
8670	0.9032
8680	0.9827
8690	0.9621
8700	0.9894
8710	0.976
8720	0.9723
8730	0.9703
8740	0.9587
8750	0.9395
8760	0.9496
8770	0.9588
8780	0.9702
8790	0.955
8800	0.9344
8810	0.9231
8820	0.9436
8830	0.9448
8840	0.941
8850	0.948
8860	0.9126
8870	0.9158
8880	0.9357
8890	0.936
8900	0.9387
8910	0.9316
8920	0.9167
8930	0.9112
8940	0.9134
8950	0.9098
8960	0.9232
8970	0.9093
8980	0.9131
8990	0.9104
9000	0.8896
9010	0.859
9020	0.8678
9030	0.9008
9040	0.9098
9050	0.9072
9060	0.8862
9070	0.8934
9080	0.8777
9090	0.8598
9100	0.8768
9110	0.8722
9120	0.8734
9130	0.8926
9140	0.882
9150	0.8747
9160	0.8785
9170	0.8661
9180	0.8703
9190	0.8733
9200	0.8626
9210	0.841
9220	0.8378
9230	0.8148
9240	0.8406
9250	0.8404
9260	0.8297
9270	0.8561
9280	0.8575
9290	0.8461
9300	0.8505
9310	0.8505
9320	0.846
9330	0.8492
9340	0.8471
9350	0.8371
9360	0.833
9370	0.8389
9380	0.8382
9390	0.8322
9400	0.8224
9410	0.7925
9420	0.809
9430	0.8189
9440	0.8079
9450	0.816
9460	0.8189
9470	0.8207
9480	0.8214
9490	0.8207
9500	0.8149
9510	0.8105
9520	0.8112
9530	0.8038
9540	0.7792
9550	0.766
9560	0.7984
9570	0.7922
9580	0.8008
9590	0.8016
9600	0.7903
9610	0.7941
9620	0.7873
9630	0.7834
9640	0.7831
9650	0.78
9660	0.7737
9670	0.7804
9680	0.7793
9690	0.7788
9700	0.778
9710	0.7756
9720	0.7774
9730	0.7692
9740	0.7598
9750	0.769
9760	0.7647
9770	0.763
9780	0.7619
9790	0.7555
9800	0.7594
9810	0.7635
9820	0.7609
9830	0.7554
9840	0.7544
9850	0.755
9860	0.7494
9870	0.7479
9880	0.7489
9890	0.7371
9900	0.7402
9910	0.7415
9920	0.7438
9930	0.7418
9940	0.7418
9950	0.7385
9960	0.7379
9970	0.7376
9980	0.7351
9990	0.7317
10000	0.7307
10010	0.7352
10020	0.732
10030	0.7233
10040	0.71
10050	0.6779
10060	0.7078
10070	0.7208
10080	0.7203
10090	0.7199
10100	0.7188
10110	0.7167
10120	0.7141
10130	0.7141
10140	0.7091
10150	0.705
10160	0.7023
10170	0.7045
10180	0.6999
10190	0.6914
10200	0.6972
10210	0.6951
10220	0.692
10230	0.7
10240	0.6976
10250	0.6971
10260	0.6957
10270	0.6939
10280	0.693
10290	0.6853
10300	0.6876
10310	0.6859
10320	0.6831
10330	0.673
10340	0.6728
10350	0.6749
10360	0.6791
10370	0.6678
10380	0.671
10390	0.671
10400	0.6684
10410	0.6716
10420	0.667
10430	0.6652
10440	0.6679
10450	0.6592
10460	0.6523
10470	0.6586
10480	0.6627
10490	0.6608
10500	0.6583
10510	0.658
10520	0.6559
10530	0.6514
10540	0.6536
10550	0.6549
10560	0.6536
10570	0.6524
10580	0.6372
10590	0.6389
10600	0.6384
10610	0.6382
10620	0.6426
10630	0.637
10640	0.6442
10650	0.6419
10660	0.6274
10670	0.6361
10680	0.624
10690	0.6036
10700	0.6262
10710	0.6297
10720	0.6272
10730	0.6168
10740	0.6265
10750	0.6132
10760	0.6271
10770	0.627
10780	0.6177
10790	0.6143
10800	0.6229
10810	0.6057
10820	0.6003
10830	0.5994
10840	0.614
10850	0.6176
10860	0.61
10870	0.5893
10880	0.6024
10890	0.6015
10900	0.6095
10910	0.6065
10920	0.6009
10930	0.5811
10940	0.5568
10950	0.5835
10960	0.583
10970	0.5839
10980	0.5759
10990	0.5892
11000	0.5927
11010	0.5848
11020	0.5772
11030	0.5885
11040	0.5865
11050	0.5863
11060	0.5845
11070	0.5824
11080	0.5827
11090	0.5821
11100	0.5823
11110	0.5778
11120	0.5739
11130	0.5725
11140	0.5775
11150	0.5728
11160	0.5732
11170	0.5757
11180	0.5703
11190	0.5625
11200	0.5626
11210	0.5663
11220	0.5685
11230	0.5676
11240	0.5636
11250	0.5481
11260	0.5535
11270	0.558
11280	0.5558
11290	0.5497
11300	0.5508
11310	0.5536
11320	0.5538
11330	0.5447
11340	0.5501
11350	0.5503
11360	0.551
11370	0.5454
11380	0.5383
11390	0.5402
11400	0.5359
11410	0.5367
11420	0.5388
11430	0.5401
11440	0.5351
11450	0.5395
11460	0.5433
11470	0.5418
11480	0.5383
11490	0.5373
11500	0.5358
11510	0.5354
11520	0.5311
11530	0.5341
11540	0.5351
11550	0.5321
11560	0.5304
11570	0.5305
11580	0.5291
11590	0.5169
11600	0.5182
11610	0.5084
11620	0.522
11630	0.5216
11640	0.5147
11650	0.5175
11660	0.5134
11670	0.5169
11680	0.5177
11690	0.5065
11700	0.516
11710	0.5175
11720	0.5161
11730	0.5156
11740	0.5132
11750	0.4988
11760	0.5072
11770	0.5071
11780	0.5012
11790	0.5085
11800	0.5097
11810	0.5061
11820	0.5
11830	0.4855
11840	0.4998
11850	0.5043
11860	0.5032
11870	0.5031
11880	0.4847
11890	0.4839
11900	0.498
11910	0.5011
11920	0.4986
11930	0.4981
11940	0.4972
11950	0.4911
11960	0.4916
11970	0.4795
11980	0.4742
11990	0.4691
12000	0.4886
12010	0.4907
12020	0.488
12030	0.4676
12040	0.4788
12050	0.4845
12060	0.4851
12070	0.4842
12080	0.4595
12090	0.4687
12100	0.4713
12110	0.473
12120	0.4787
12130	0.4781
12140	0.4782
12150	0.478
12160	0.4772
12170	0.4759
12180	0.4741
12190	0.4721
12200	0.4735
12210	0.4716
12220	0.4698
12230	0.4683
12240	0.4696
12250	0.4681
12260	0.466
12270	0.4567
12280	0.4642
12290	0.4651
12300	0.4626
12310	0.4611
12320	0.4589
12330	0.4598
12340	0.4574
12350	0.4569
12360	0.4583
12370	0.4577
12380	0.4567
12390	0.451
12400	0.4519
12410	0.4538
12420	0.4492
12430	0.4453
12440	0.4497
12450	0.4509
12460	0.4481
12470	0.4475
12480	0.4493
12490	0.4488
12500	0.4473
12510	0.4441
12520	0.441
12530	0.4432
12540	0.4433
12550	0.4421
12560	0.4404
12570	0.4402
12580	0.4398
12590	0.4408
12600	0.441
12610	0.4385
12620	0.4375
12630	0.4391
12640	0.4349
12650	0.4357
12660	0.4365
12670	0.4322
12680	0.4292
12690	0.4337
12700	0.4352
12710	0.4341
12720	0.433
12730	0.431
12740	0.4293
12750	0.431
12760	0.4309
12770	0.4298
12780	0.4279
12790	0.4245
12800	0.4191
12810	0.3958
12820	0.3749
12830	0.4051
12840	0.4164
12850	0.4182
12860	0.4199
12870	0.4208
12880	0.4192
12890	0.4192
12900	0.4139
12910	0.4172
12920	0.419
12930	0.4166
12940	0.4157
12950	0.4174
12960	0.4175
12970	0.4138
12980	0.4133
12990	0.4154
13000	0.4138
13010	0.4113
13020	0.4094
13030	0.4063
13040	0.4076
13050	0.4098
13060	0.4096
13070	0.4073
13080	0.4068
13090	0.4065
13100	0.4039
13110	0.4037
13120	0.3928
13130	0.3962
13140	0.3996
13150	0.3878
13160	0.3971
13170	0.3989
13180	0.3972
13190	0.4
13200	0.398
13210	0.3957
13220	0.3965
13230	0.3961
13240	0.3964
13250	0.3946
13260	0.3923
13270	0.3919
13280	0.3883
13290	0.3836
13300	0.3893
13310	0.3883
13320	0.384
13330	0.3901
13340	0.3905
13350	0.388
13360	0.3886
13370	0.387
13380	0.3847
13390	0.3789
13400	0.383
13410	0.3837
13420	0.3834
13430	0.383
13440	0.384
13450	0.382
13460	0.3803
13470	0.3811
13480	0.3809
13490	0.378
13500	0.3751
13510	0.3777
13520	0.3791
13530	0.3775
13540	0.3753
13550	0.3716
13560	0.3699
13570	0.3704
13580	0.3732
13590	0.3696
13600	0.3699
13610	0.3728
13620	0.3688
13630	0.367
13640	0.3685
13650	0.3694
13660	0.3671
13670	0.3659
13680	0.3645
13690	0.3621
13700	0.3619
13710	0.3626
13720	0.3656
13730	0.3654
13740	0.3622
13750	0.3593
13760	0.3577
13770	0.3607
13780	0.3612
13790	0.3619
13800	0.3604
13810	0.3592
13820	0.3562
13830	0.3577
13840	0.3583
13850	0.3564
13860	0.3565
13870	0.3558
13880	0.357
13890	0.355
13900	0.3529
13910	0.3553
13920	0.3541
13930	0.3528
13940	0.3511
13950	0.3505
13960	0.3518
13970	0.3521
13980	0.3516
13990	0.3478
14000	0.3429
14010	0.3455
14020	0.3473
14030	0.3447
14040	0.3449
14050	0.3455
14060	0.3447
14070	0.3446
14080	0.3446
14090	0.3452
14100	0.3435
14110	0.3364
14120	0.3365
14130	0.3384
14140	0.3398
14150	0.3409
14160	0.3387
14170	0.3408
14180	0.3393
14190	0.3368
14200	0.3368
14210	0.3336
14220	0.3311
14230	0.3318
14240	0.332
14250	0.3301
14260	0.328
14270	0.3293
14280	0.3303
14290	0.3247
14300	0.3287
14310	0.3291
14320	0.3341
14330	0.3308
14340	0.3301
14350	0.331
14360	0.3303
14370	0.3307
14380	0.3304
14390	0.3272
14400	0.3142
14410	0.3225
14420	0.3184
14430	0.3218
14440	0.3206
14450	0.3248
14460	0.3222
14470	0.3223
14480	0.3242
14490	0.3231
14500	0.3188
14510	0.3154
14520	0.3186
14530	0.318
14540	0.3145
14550	0.3141
14560	0.3151
14570	0.3171
14580	0.3197
14590	0.3184
14600	0.3165
14610	0.3154
14620	0.3127
14630	0.3114
14640	0.3134
14650	0.3113
14660	0.3135
14670	0.3129
14680	0.3116
14690	0.3135
14700	0.3083
14710	0.308
14720	0.3067
14730	0.3033
14740	0.3028
14750	0.3036
14760	0.3049
14770	0.3034
14780	0.3035
14790	0.3075
14800	0.3055
14810	0.3044
14820	0.3038
14830	0.3012
14840	0.3054
14850	0.306
14860	0.3021
14870	0.2896
14880	0.2793
14890	0.3008
14900	0.3026
14910	0.3013
14920	0.3011
14930	0.3028
14940	0.3032
14950	0.298
14960	0.2938
14970	0.2974
14980	0.2975
14990	0.2976
15000	0.2993
15010	0.2975
15020	0.2825
15030	0.2783
15040	0.2745
15050	0.2742
15060	0.2871
15070	0.2916
15080	0.2869
15090	0.291
15100	0.2938
15110	0.2926
15120	0.2872
15130	0.2865
15140	0.2868
15150	0.2882
15160	0.2857
15170	0.2871
15180	0.2874
15190	0.2867
15200	0.2852
15210	0.2813
15220	0.2812
15230	0.2838
15240	0.2815
15250	0.2823
15260	0.2843
15270	0.2843
15280	0.2836
15290	0.2755
15300	0.2735
15310	0.2812
15320	0.28
15330	0.2773
15340	0.2748
15350	0.278
15360	0.2792
15370	0.2767
15380	0.2738
15390	0.2719
15400	0.2694
15410	0.2725
15420	0.2732
15430	0.2748
15440	0.2754
15450	0.2758
15460	0.274
15470	0.2681
15480	0.2679
15490	0.2691
15500	0.2678
15510	0.2704
15520	0.2708
15530	0.266
15540	0.2645
15550	0.2644
15560	0.2646
15570	0.2674
15580	0.266
15590	0.2645
15600	0.2664
15610	0.2681
15620	0.2661
15630	0.2633
15640	0.2648
15650	0.2641
15660	0.2612
15670	0.2612
15680	0.259
15690	0.2595
15700	0.262
15710	0.2641
15720	0.2623
15730	0.261
15740	0.2523
15750	0.2498
15760	0.2475
15770	0.2417
15780	0.2546
15790	0.2587
15800	0.26
15810	0.256
15820	0.2502
15830	0.2521
15840	0.2535
15850	0.2555
15860	0.2533
15870	0.249
15880	0.2395
15890	0.2318
15900	0.2379
15910	0.2433
15920	0.2521
15930	0.2543
15940	0.2551
15950	0.2508
15960	0.2439
15970	0.2515
15980	0.2528
15990	0.2499
16000	0.2477
16010	0.2449
16020	0.2466
16030	0.2475
16040	0.2457
16050	0.2454
16060	0.2427
16070	0.2448
16080	0.2459
16090	0.2385
16100	0.2336
16110	0.238
16120	0.24
16130	0.2415
16140	0.2409
16150	0.2352
16160	0.2317
16170	0.2371
16180	0.2402
16190	0.2372
16200	0.2306
16210	0.2337
16220	0.2374
16230	0.2407
16240	0.2387
16250	0.2377
16260	0.2386
16270	0.24
16280	0.2401
16290	0.2373
16300	0.2363
16310	0.2366
16320	0.2353
16330	0.2315
16340	0.2326
16350	0.234
16360	0.229
16370	0.2251
16380	0.2197
16390	0.2207
16400	0.2212
16410	0.22
16420	0.2224
16430	0.2235
16440	0.2217
16450	0.2234
16460	0.2255
16470	0.2256
16480	0.2239
16490	0.223
16500	0.2236
16510	0.2232
16520	0.2242
16530	0.2243
16540	0.2237
16550	0.2241
16560	0.2251
16570	0.2246
16580	0.2237
16590	0.223
16600	0.2248
16610	0.2247
16620	0.2229
16630	0.2218
16640	0.2213
16650	0.2194
16660	0.2187
16670	0.2174
16680	0.2152
16690	0.2183
16700	0.219
16710	0.2149
16720	0.2105
16730	0.2144
16740	0.2142
16750	0.21
16760	0.2104
16770	0.212
16780	0.2103
16790	0.2063
16800	0.199
16810	0.1971
16820	0.2024
16830	0.2069
16840	0.2092
16850	0.2093
16860	0.2089
16870	0.2089
16880	0.2086
16890	0.2065
16900	0.2088
16910	0.21
16920	0.2102
16930	0.2098
16940	0.2093
16950	0.2088
16960	0.2081
16970	0.2078
16980	0.2076
16990	0.206
17000	0.2043
17020	0.2026
17050	0.2028
17100	0.1981
17150	0.1993
17200	0.1959
17250	0.1933
17300	0.1911
17350	0.1814
17400	0.1848
17450	0.1857
17500	0.1843
17550	0.1842
17600	0.1816
17650	0.1797
17700	0.1783
17750	0.1758
17800	0.1735
17850	0.1726
17900	0.1721
17950	0.1701
18000	0.1682
18050	0.1668
18100	0.1654
18150	0.1583
18200	0.1555
18250	0.1599
18300	0.1592
18350	0.1576
18400	0.1555
18450	0.153
18500	0.1533
18550	0.152
18600	0.15
18650	0.1479
18700	0.1455
18750	0.1348
18800	0.1424
18850	0.1431
18900	0.1409
18950	0.1378
19000	0.1388
19050	0.1381
19100	0.1366
19150	0.1357
19200	0.1341
19250	0.1334
19300	0.1303
19350	0.1302
19400	0.1272
19450	0.1203
19500	0.1246
19550	0.1267
19600	0.1251
19650	0.123
19700	0.1225
19750	0.1204
19800	0.1191
19850	0.1183
19900	0.1182
19950	0.1162
20000	0.1159
20050	0.1147
20100	0.1144
20150	0.1134
20200	0.1114
20250	0.1108
20300	0.1091
20350	0.1081
20400	0.1076
20450	0.1077
20500	0.1064
20550	0.1053
20600	0.1037
20650	0.1029
20700	0.1023
20750	0.1022
20800	0.1006
20850	0.09972
20900	0.09874
20950	0.09729
21000	0.09745
21050	0.09684
21100	0.09573
21150	0.09489
21200	0.0937
21250	0.09285
21300	0.09277
21350	0.09165
21400	0.09141
21450	0.09059
21500	0.09007
21550	0.08921
21600	0.08778
21650	0.0827
21700	0.08508
21750	0.08562
21800	0.08491
21850	0.08458
21900	0.08358
21950	0.08337
22000	0.08258
22050	0.08068
22100	0.08048
22150	0.08019
22200	0.07969
22250	0.07868
22300	0.07827
22350	0.07761
22400	0.07656
22450	0.07616
22500	0.07541
22550	0.07456
22600	0.07414
22650	0.07347
22700	0.07318
22750	0.07264
22800	0.07142
22850	0.07103
22900	0.07064
22950	0.06909
23000	0.06918
23050	0.06897
23100	0.06843
23150	0.0676
23200	0.06671
23250	0.06534
23300	0.06561
23350	0.06509
23400	0.06487
23450	0.06461
23500	0.06351
23550	0.0622
23600	0.06246
23650	0.0623
23700	0.06157
23750	0.06089
23800	0.06055
23850	0.05856
23900	0.05906
23950	0.05884
24000	0.05847
24050	0.05813
24100	0.05769
24150	0.05596
24200	0.05622
24250	0.05602
24300	0.0558
24350	0.05515
24400	0.05501
24450	0.05429
24500	0.05337
24550	0.05297
24600	0.05311
24650	0.05299
24700	0.05217
24750	0.05207
24800	0.051
24850	0.05065
24900	0.05079
24950	0.0505
25000	0.05034
25050	0.04997
25100	0.04919
25150	0.04894
25200	0.04881
25250	0.04856
25300	0.04826
25350	0.04779
25400	0.047
25450	0.04685
25500	0.04657
25550	0.04619
25600	0.04587
25650	0.04556
25700	0.04535
25750	0.04527
25800	0.04473
25850	0.04365
25900	0.04405
25950	0.04376
26000	0.04354
26050	0.04334
26100	0.04297
26150	0.04257
26200	0.04179
26250	0.03984
26300	0.04101
26350	0.04141
26400	0.04059
26450	0.04071
26500	0.04055
26550	0.04003
26600	0.03996
26650	0.03917
26700	0.03943
26750	0.03907
26800	0.03899
26850	0.03883
26900	0.03854
26950	0.03823
27000	0.03806
27050	0.03776
27100	0.03745
27150	0.03726
27200	0.037
27250	0.03669
27300	0.0365
27350	0.03629
27400	0.03597
27450	0.03584
27500	0.03554
27550	0.03502
27600	0.0346
27650	0.03465
27700	0.03456
27750	0.03425
27800	0.03409
27850	0.03387
27900	0.03376
27950	0.03353
28000	0.03325
28050	0.03302
28100	0.03287
28150	0.03263
28200	0.03242
28250	0.03218
28300	0.032
28350	0.03182
28400	0.03148
28450	0.03133
28500	0.03111
28550	0.03093
28600	0.03074
28650	0.03047
28700	0.02994
28750	0.02977
28800	0.02988
28850	0.02973
28900	0.02953
28950	0.02938
29000	0.02918
29050	0.02899
29100	0.02883
29150	0.02862
29200	0.02843
29250	0.02813
29300	0.02803
29350	0.0279
29400	0.0277
29450	0.02747
29500	0.02733
29550	0.02719
29600	0.02704
29650	0.02689
29700	0.02671
29750	0.02655
29800	0.02635
29850	0.0262
29900	0.02601
29950	0.02581
30000	0.0256
30050	0.02555
30100	0.02539
30150	0.02522
30200	0.02505
30250	0.02489
30300	0.02469
30350	0.02432
30400	0.02393
30450	0.02415
30500	0.02414
30550	0.02397
30600	0.02383
30650	0.02362
30700	0.02351
30750	0.02343
30800	0.02324
30850	0.02306
30900	0.02296
30950	0.02282
31000	0.02266
31050	0.02258
31100	0.0224
31150	0.02201
31200	0.02208
31250	0.02201
31300	0.02188
31350	0.02177
31400	0.02163
