Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Beam_normal_+circumsolar Global_horizn_irradiance Global_tilted_irradiance Zonal_ground_reflectance
.3010E+03 .4630E+00 .6953E-02 .6996E-02 .1091E-01 .1168E-01 .4691E-01
.3015E+03 .4776E+00 .9040E-02 .9096E-02 .1405E-01 .1506E-01 .4687E-01
.3020E+03 .4490E+00 .9538E-02 .9597E-02 .1473E-01 .1580E-01 .4684E-01
.3025E+03 .5080E+00 .1314E-01 .1322E-01 .2012E-01 .2161E-01 .4680E-01
.3030E+03 .6120E+00 .2012E-01 .2024E-01 .3075E-01 .3304E-01 .4680E-01
.3035E+03 .6460E+00 .2442E-01 .2457E-01 .3729E-01 .4007E-01 .4679E-01
.3040E+03 .6210E+00 .2520E-01 .2535E-01 .3839E-01 .4126E-01 .4678E-01
.3045E+03 .6260E+00 .2978E-01 .2995E-01 .4536E-01 .4876E-01 .4678E-01
.3050E+03 .6420E+00 .3748E-01 .3771E-01 .5727E-01 .6153E-01 .4679E-01
.3055E+03 .6110E+00 .4049E-01 .4073E-01 .6189E-01 .6649E-01 .4679E-01
.3060E+03 .5650E+00 .3952E-01 .3975E-01 .6027E-01 .6478E-01 .4678E-01
.3065E+03 .5750E+00 .4352E-01 .4378E-01 .6631E-01 .7127E-01 .4678E-01
.3070E+03 .6050E+00 .5344E-01 .5375E-01 .8165E-01 .8773E-01 .4679E-01
.3075E+03 .6310E+00 .6413E-01 .6450E-01 .1042E+00 .1110E+00 .4706E-01
.3080E+03 .6450E+00 .6770E-01 .6809E-01 .1093E+00 .1165E+00 .4703E-01
.3085E+03 .6405E+00 .7201E-01 .7242E-01 .1152E+00 .1230E+00 .4699E-01
.3090E+03 .5800E+00 .6887E-01 .6926E-01 .1094E+00 .1169E+00 .4696E-01
.3095E+03 .5000E+00 .6851E-01 .6889E-01 .1075E+00 .1150E+00 .4690E-01
.3100E+03 .5330E+00 .7816E-01 .7859E-01 .1218E+00 .1305E+00 .4687E-01
.3105E+03 .6520E+00 .9932E-01 .9987E-01 .1539E+00 .1650E+00 .4685E-01
.3110E+03 .7620E+00 .1226E+00 .1232E+00 .1888E+00 .2026E+00 .4682E-01
.3115E+03 .7440E+00 .1231E+00 .1238E+00 .1888E+00 .2028E+00 .4680E-01
.3120E+03 .7061E+00 .1295E+00 .1302E+00 .1973E+00 .2121E+00 .4677E-01
.3125E+03 .6760E+00 .1328E+00 .1335E+00 .2012E+00 .2164E+00 .4675E-01
.3130E+03 .6940E+00 .1417E+00 .1425E+00 .2139E+00 .2302E+00 .4673E-01
.3135E+03 .7240E+00 .1450E+00 .1458E+00 .2180E+00 .2347E+00 .4671E-01
.3140E+03 .7170E+00 .1547E+00 .1555E+00 .2315E+00 .2495E+00 .4669E-01
.3145E+03 .6760E+00 .1601E+00 .1609E+00 .2387E+00 .2574E+00 .4667E-01
.3150E+03 .6845E+00 .1660E+00 .1669E+00 .2466E+00 .2661E+00 .4665E-01
.3155E+03 .6320E+00 .1484E+00 .1492E+00 .2197E+00 .2372E+00 .4663E-01
.3160E+03 .5870E+00 .1483E+00 .1491E+00 .2188E+00 .2363E+00 .4662E-01
.3165E+03 .6490E+00 .1743E+00 .1752E+00 .2566E+00 .2772E+00 .4661E-01
.3170E+03 .7390E+00 .1996E+00 .2007E+00 .2927E+00 .3164E+00 .4659E-01
.3175E+03 .8019E+00 .2149E+00 .2160E+00 .3139E+00 .3395E+00 .4657E-01
.3180E+03 .7236E+00 .2024E+00 .2034E+00 .2947E+00 .3189E+00 .4656E-01
.3185E+03 .6800E+00 .2043E+00 .2054E+00 .2973E+00 .3217E+00 .4655E-01
.3190E+03 .7058E+00 .2203E+00 .2214E+00 .3198E+00 .3462E+00 .4654E-01
.3195E+03 .7332E+00 .2192E+00 .2203E+00 .3165E+00 .3429E+00 .4651E-01
.3200E+03 .7750E+00 .2313E+00 .2325E+00 .3327E+00 .3607E+00 .4650E-01
.3205E+03 .8260E+00 .2640E+00 .2653E+00 .3794E+00 .4114E+00 .4644E-01
.3210E+03 .7655E+00 .2592E+00 .2604E+00 .3722E+00 .4036E+00 .4638E-01
.3215E+03 .7190E+00 .2464E+00 .2477E+00 .3529E+00 .3828E+00 .4632E-01
.3220E+03 .7351E+00 .2401E+00 .2413E+00 .3416E+00 .3709E+00 .4623E-01
.3225E+03 .7115E+00 .2344E+00 .2355E+00 .3323E+00 .3611E+00 .4616E-01
.3230E+03 .6490E+00 .2229E+00 .2240E+00 .3157E+00 .3430E+00 .4611E-01
.3235E+03 .6814E+00 .2494E+00 .2506E+00 .3623E+00 .3922E+00 .4618E-01
.3240E+03 .7405E+00 .2749E+00 .2762E+00 .3986E+00 .4316E+00 .4611E-01
.3245E+03 .7880E+00 .2883E+00 .2896E+00 .4154E+00 .4501E+00 .4603E-01
.3250E+03 .8292E+00 .2934E+00 .2948E+00 .4102E+00 .4466E+00 .4583E-01
.3255E+03 .9138E+00 .3339E+00 .3355E+00 .4772E+00 .5178E+00 .4589E-01
.3260E+03 .9984E+00 .3807E+00 .3825E+00 .5450E+00 .5912E+00 .4584E-01
.3265E+03 .1017E+01 .3990E+00 .4009E+00 .5714E+00 .6199E+00 .4579E-01
.3270E+03 .1005E+01 .3937E+00 .3955E+00 .5612E+00 .6092E+00 .4572E-01
.3275E+03 .9868E+00 .3846E+00 .3864E+00 .5456E+00 .5927E+00 .4564E-01
.3280E+03 .9568E+00 .3620E+00 .3636E+00 .5095E+00 .5541E+00 .4555E-01
.3285E+03 .9340E+00 .3699E+00 .3716E+00 .5219E+00 .5674E+00 .4551E-01
.3290E+03 .1005E+01 .4107E+00 .4126E+00 .5802E+00 .6307E+00 .4546E-01
.3295E+03 .1096E+01 .4535E+00 .4556E+00 .6395E+00 .6953E+00 .4540E-01
.3300E+03 .1110E+01 .4592E+00 .4613E+00 .6448E+00 .7016E+00 .4533E-01
.3305E+03 .1043E+01 .4252E+00 .4272E+00 .5932E+00 .6461E+00 .4525E-01
.3310E+03 .9910E+00 .4031E+00 .4049E+00 .5599E+00 .6102E+00 .4517E-01
.3315E+03 .9940E+00 .4128E+00 .4146E+00 .5731E+00 .6246E+00 .4512E-01
.3320E+03 .9928E+00 .4230E+00 .4248E+00 .5877E+00 .6404E+00 .4507E-01
.3325E+03 .9800E+00 .4230E+00 .4249E+00 .5869E+00 .6397E+00 .4501E-01
.3330E+03 .9639E+00 .4160E+00 .4179E+00 .5749E+00 .6271E+00 .4494E-01
.3335E+03 .9370E+00 .4005E+00 .4022E+00 .5502E+00 .6007E+00 .4486E-01
.3340E+03 .9556E+00 .4092E+00 .4110E+00 .5603E+00 .6120E+00 .4479E-01
.3345E+03 .9886E+00 .4325E+00 .4344E+00 .5923E+00 .6469E+00 .4474E-01
.3350E+03 .1010E+01 .4475E+00 .4494E+00 .6121E+00 .6687E+00 .4468E-01
.3355E+03 .9745E+00 .4357E+00 .4376E+00 .6105E+00 .6644E+00 .4474E-01
.3360E+03 .8898E+00 .3997E+00 .4014E+00 .5584E+00 .6080E+00 .4468E-01
.3365E+03 .8290E+00 .3712E+00 .3728E+00 .5030E+00 .5504E+00 .4448E-01
.3370E+03 .8180E+00 .3657E+00 .3673E+00 .4936E+00 .5404E+00 .4440E-01
.3375E+03 .8773E+00 .3930E+00 .3947E+00 .5287E+00 .5791E+00 .4434E-01
.3380E+03 .9253E+00 .4212E+00 .4230E+00 .5664E+00 .6205E+00 .4428E-01
.3385E+03 .9578E+00 .4397E+00 .4415E+00 .6020E+00 .6575E+00 .4432E-01
.3390E+03 .9686E+00 .4472E+00 .4491E+00 .6081E+00 .6649E+00 .4423E-01
.3395E+03 .9890E+00 .4585E+00 .4604E+00 .6237E+00 .6820E+00 .4418E-01
.3400E+03 .1054E+01 .4884E+00 .4904E+00 .6496E+00 .7129E+00 .4402E-01
.3405E+03 .1046E+01 .4872E+00 .4892E+00 .6680E+00 .7295E+00 .4417E-01
.3410E+03 .9710E+00 .4564E+00 .4583E+00 .6141E+00 .6727E+00 .4408E-01
.3415E+03 .9590E+00 .4536E+00 .4554E+00 .6045E+00 .6631E+00 .4403E-01
.3420E+03 .9957E+00 .4730E+00 .4749E+00 .6277E+00 .6891E+00 .4401E-01
.3425E+03 .1028E+01 .4907E+00 .4927E+00 .6486E+00 .7125E+00 .4399E-01
.3430E+03 .1042E+01 .4988E+00 .5008E+00 .6601E+00 .7249E+00 .4400E-01
.3435E+03 .9830E+00 .4719E+00 .4738E+00 .6244E+00 .6858E+00 .4400E-01
.3440E+03 .8542E+00 .4093E+00 .4109E+00 .5491E+00 .6017E+00 .4406E-01
.3445E+03 .8130E+00 .3927E+00 .3943E+00 .5201E+00 .5711E+00 .4400E-01
.3450E+03 .9158E+00 .4458E+00 .4476E+00 .5839E+00 .6423E+00 .4394E-01
.3455E+03 .9702E+00 .4748E+00 .4767E+00 .6187E+00 .6812E+00 .4392E-01
.3460E+03 .9427E+00 .4635E+00 .4653E+00 .6015E+00 .6627E+00 .4390E-01
.3465E+03 .9559E+00 .4720E+00 .4739E+00 .6104E+00 .6730E+00 .4388E-01
.3470E+03 .9695E+00 .4802E+00 .4821E+00 .6209E+00 .6846E+00 .4388E-01
.3475E+03 .9332E+00 .4638E+00 .4657E+00 .5990E+00 .6605E+00 .4387E-01
.3480E+03 .9247E+00 .4618E+00 .4636E+00 .5930E+00 .6545E+00 .4385E-01
.3485E+03 .9372E+00 .4698E+00 .4716E+00 .6008E+00 .6636E+00 .4382E-01
.3490E+03 .8990E+00 .4526E+00 .4544E+00 .5771E+00 .6378E+00 .4381E-01
.3495E+03 .9197E+00 .4649E+00 .4667E+00 .5917E+00 .6541E+00 .4380E-01
.3500E+03 .1012E+01 .5137E+00 .5156E+00 .6521E+00 .7212E+00 .4379E-01
.3505E+03 .1085E+01 .5524E+00 .5545E+00 .6997E+00 .7741E+00 .4383E-01
.3510E+03 .1053E+01 .5379E+00 .5400E+00 .6805E+00 .7530E+00 .4387E-01
.3515E+03 .1013E+01 .5183E+00 .5202E+00 .6568E+00 .7266E+00 .4394E-01
.3520E+03 .9838E+00 .5058E+00 .5077E+00 .6380E+00 .7063E+00 .4396E-01
.3525E+03 .9260E+00 .4780E+00 .4798E+00 .6005E+00 .6653E+00 .4399E-01
.3530E+03 .9801E+00 .5080E+00 .5099E+00 .6363E+00 .7053E+00 .4403E-01
.3535E+03 .1075E+01 .5589E+00 .5610E+00 .6980E+00 .7741E+00 .4407E-01
.3540E+03 .1135E+01 .5912E+00 .5934E+00 .7363E+00 .8170E+00 .4410E-01
.3545E+03 .1144E+01 .5980E+00 .6003E+00 .7431E+00 .8249E+00 .4415E-01
.3550E+03 .1141E+01 .5983E+00 .6005E+00 .7422E+00 .8241E+00 .4419E-01
.3555E+03 .1096E+01 .5777E+00 .5798E+00 .7151E+00 .7943E+00 .4423E-01
.3560E+03 .1025E+01 .5422E+00 .5442E+00 .6697E+00 .7441E+00 .4427E-01
.3565E+03 .9591E+00 .5089E+00 .5107E+00 .6271E+00 .6971E+00 .4431E-01
.3570E+03 .8420E+00 .4479E+00 .4495E+00 .5508E+00 .6125E+00 .4435E-01
.3575E+03 .8501E+00 .4535E+00 .4552E+00 .5565E+00 .6191E+00 .4439E-01
.3580E+03 .7892E+00 .4223E+00 .4239E+00 .5171E+00 .5755E+00 .4443E-01
.3585E+03 .7310E+00 .3924E+00 .3938E+00 .4794E+00 .5337E+00 .4447E-01
.3590E+03 .8580E+00 .4619E+00 .4636E+00 .5633E+00 .6273E+00 .4451E-01
.3595E+03 .1032E+01 .5570E+00 .5590E+00 .6783E+00 .7556E+00 .4456E-01
.3600E+03 .1089E+01 .5895E+00 .5916E+00 .7163E+00 .7982E+00 .4460E-01
.3605E+03 .1027E+01 .5573E+00 .5593E+00 .6757E+00 .7532E+00 .4469E-01
.3610E+03 .9415E+00 .5128E+00 .5147E+00 .6205E+00 .6920E+00 .4478E-01
.3615E+03 .9180E+00 .5021E+00 .5038E+00 .6062E+00 .6763E+00 .4487E-01
.3620E+03 .9580E+00 .5260E+00 .5279E+00 .6340E+00 .7076E+00 .4497E-01
.3625E+03 .1045E+01 .5759E+00 .5780E+00 .6929E+00 .7736E+00 .4506E-01
.3630E+03 .1071E+01 .5924E+00 .5944E+00 .7114E+00 .7944E+00 .4515E-01
.3635E+03 .1038E+01 .5761E+00 .5781E+00 .6907E+00 .7715E+00 .4525E-01
.3640E+03 .1072E+01 .5967E+00 .5988E+00 .7140E+00 .7979E+00 .4534E-01
.3645E+03 .1059E+01 .5913E+00 .5933E+00 .7063E+00 .7895E+00 .4543E-01
.3650E+03 .1097E+01 .6141E+00 .6162E+00 .7323E+00 .8188E+00 .4553E-01
.3655E+03 .1204E+01 .6760E+00 .6784E+00 .8046E+00 .9000E+00 .4562E-01
.3660E+03 .1286E+01 .7244E+00 .7269E+00 .8607E+00 .9630E+00 .4571E-01
.3665E+03 .1284E+01 .7258E+00 .7282E+00 .8608E+00 .9634E+00 .4581E-01
.3670E+03 .1258E+01 .7125E+00 .7149E+00 .8435E+00 .9444E+00 .4590E-01
.3675E+03 .1232E+01 .6993E+00 .7017E+00 .8264E+00 .9255E+00 .4599E-01
.3680E+03 .1157E+01 .6586E+00 .6608E+00 .7769E+00 .8704E+00 .4608E-01
.3685E+03 .1146E+01 .6543E+00 .6565E+00 .7706E+00 .8636E+00 .4618E-01
.3690E+03 .1194E+01 .6841E+00 .6864E+00 .8043E+00 .9017E+00 .4627E-01
.3695E+03 .1279E+01 .7351E+00 .7375E+00 .8628E+00 .9675E+00 .4636E-01
.3700E+03 .1293E+01 .7454E+00 .7479E+00 .8735E+00 .9799E+00 .4646E-01
.3705E+03 .1166E+01 .6740E+00 .6762E+00 .7885E+00 .8848E+00 .4655E-01
.3710E+03 .1181E+01 .6847E+00 .6870E+00 .7998E+00 .8977E+00 .4665E-01
.3715E+03 .1225E+01 .7118E+00 .7142E+00 .8300E+00 .9319E+00 .4674E-01
.3720E+03 .1144E+01 .6665E+00 .6687E+00 .7759E+00 .8714E+00 .4683E-01
.3725E+03 .1088E+01 .6352E+00 .6372E+00 .7382E+00 .8293E+00 .4692E-01
.3730E+03 .1044E+01 .6118E+00 .6138E+00 .7099E+00 .7978E+00 .4702E-01
.3735E+03 .9390E+00 .5516E+00 .5534E+00 .6391E+00 .7184E+00 .4711E-01
.3740E+03 .9344E+00 .5503E+00 .5521E+00 .6365E+00 .7158E+00 .4721E-01
.3745E+03 .9250E+00 .5463E+00 .5481E+00 .6310E+00 .7097E+00 .4730E-01
.3750E+03 .9850E+00 .5831E+00 .5850E+00 .6724E+00 .7565E+00 .4739E-01
.3755E+03 .1087E+01 .6451E+00 .6471E+00 .7426E+00 .8358E+00 .4748E-01
.3760E+03 .1124E+01 .6683E+00 .6704E+00 .7681E+00 .8648E+00 .4758E-01
.3765E+03 .1104E+01 .6578E+00 .6599E+00 .7549E+00 .8501E+00 .4767E-01
.3770E+03 .1181E+01 .7058E+00 .7081E+00 .8088E+00 .9111E+00 .4776E-01
.3775E+03 .1315E+01 .7877E+00 .7902E+00 .9013E+00 .1016E+01 .4786E-01
.3780E+03 .1414E+01 .8491E+00 .8518E+00 .9700E+00 .1093E+01 .4795E-01
.3785E+03 .1376E+01 .8281E+00 .8307E+00 .9446E+00 .1065E+01 .4804E-01
.3790E+03 .1226E+01 .7390E+00 .7413E+00 .8416E+00 .9492E+00 .4814E-01
.3795E+03 .1098E+01 .6629E+00 .6650E+00 .7538E+00 .8504E+00 .4823E-01
.3800E+03 .1152E+01 .6970E+00 .6992E+00 .7914E+00 .8930E+00 .4832E-01
.3805E+03 .1231E+01 .7468E+00 .7491E+00 .8467E+00 .9557E+00 .4837E-01
.3810E+03 .1249E+01 .7598E+00 .7622E+00 .8603E+00 .9713E+00 .4841E-01
.3815E+03 .1122E+01 .6847E+00 .6868E+00 .7742E+00 .8743E+00 .4845E-01
.3820E+03 .9543E+00 .5836E+00 .5855E+00 .6590E+00 .7444E+00 .4849E-01
.3825E+03 .8231E+00 .5049E+00 .5064E+00 .5693E+00 .6433E+00 .4854E-01
.3830E+03 .7360E+00 .4526E+00 .4540E+00 .5096E+00 .5760E+00 .4858E-01
.3835E+03 .7110E+00 .4381E+00 .4395E+00 .4927E+00 .5570E+00 .4862E-01
.3840E+03 .8210E+00 .5070E+00 .5086E+00 .5693E+00 .6438E+00 .4866E-01
.3845E+03 .9862E+00 .6105E+00 .6124E+00 .6845E+00 .7743E+00 .4871E-01
.3850E+03 .1080E+01 .6702E+00 .6723E+00 .7505E+00 .8491E+00 .4875E-01
.3855E+03 .1030E+01 .6405E+00 .6424E+00 .7162E+00 .8106E+00 .4879E-01
.3860E+03 .9911E+00 .6180E+00 .6199E+00 .6902E+00 .7813E+00 .4883E-01
.3865E+03 .1028E+01 .6427E+00 .6446E+00 .7168E+00 .8116E+00 .4888E-01
.3870E+03 .1035E+01 .6486E+00 .6506E+00 .7225E+00 .8182E+00 .4892E-01
.3875E+03 .1019E+01 .6394E+00 .6413E+00 .7112E+00 .8057E+00 .4896E-01
.3880E+03 .1007E+01 .6333E+00 .6352E+00 .7036E+00 .7972E+00 .4900E-01
.3885E+03 .9974E+00 .6290E+00 .6309E+00 .6978E+00 .7909E+00 .4905E-01
.3890E+03 .1081E+01 .6830E+00 .6851E+00 .7568E+00 .8580E+00 .4909E-01
.3895E+03 .1196E+01 .7572E+00 .7594E+00 .8379E+00 .9501E+00 .4913E-01
.3900E+03 .1252E+01 .7945E+00 .7968E+00 .8780E+00 .9959E+00 .4918E-01
.3905E+03 .1260E+01 .8013E+00 .8037E+00 .8845E+00 .1003E+01 .4927E-01
.3910E+03 .1332E+01 .8490E+00 .8515E+00 .9360E+00 .1062E+01 .4936E-01
.3915E+03 .1349E+01 .8613E+00 .8638E+00 .9483E+00 .1076E+01 .4946E-01
.3920E+03 .1240E+01 .7931E+00 .7955E+00 .8722E+00 .9902E+00 .4955E-01
.3925E+03 .1031E+01 .6611E+00 .6631E+00 .7262E+00 .8247E+00 .4965E-01
.3930E+03 .7450E+00 .4787E+00 .4802E+00 .5252E+00 .5966E+00 .4974E-01
.3935E+03 .5912E+00 .3808E+00 .3819E+00 .4172E+00 .4740E+00 .4983E-01
.3940E+03 .7667E+00 .4947E+00 .4962E+00 .5414E+00 .6153E+00 .4993E-01
.3945E+03 .1056E+01 .6826E+00 .6846E+00 .7462E+00 .8482E+00 .5002E-01
.3950E+03 .1245E+01 .8064E+00 .8088E+00 .8804E+00 .1001E+01 .5012E-01
.3955E+03 .1324E+01 .8592E+00 .8617E+00 .9369E+00 .1066E+01 .5021E-01
.3960E+03 .1163E+01 .7557E+00 .7578E+00 .8230E+00 .9362E+00 .5030E-01
.3965E+03 .8433E+00 .5495E+00 .5511E+00 .5978E+00 .6802E+00 .5040E-01
.3970E+03 .6520E+00 .4257E+00 .4269E+00 .4626E+00 .5265E+00 .5049E-01
.3975E+03 .9614E+00 .6289E+00 .6307E+00 .6826E+00 .7770E+00 .5059E-01
.3980E+03 .1301E+01 .8520E+00 .8545E+00 .9237E+00 .1052E+01 .5068E-01
.3985E+03 .1534E+01 .1006E+01 .1009E+01 .1090E+01 .1241E+01 .5077E-01
.3990E+03 .1625E+01 .1069E+01 .1072E+01 .1156E+01 .1317E+01 .5087E-01
.3995E+03 .1672E+01 .1102E+01 .1105E+01 .1190E+01 .1356E+01 .5096E-01
.4000E+03 .1689E+01 .1114E+01 .1117E+01 .1202E+01 .1370E+01 .5106E-01
