Wvlgth Extraterrestrial_spectrm Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar
.3010E+03 .4630E+00 .1943E-02 .6243E-03 .1444E-02
.3015E+03 .4776E+00 .2899E-02 .8939E-03 .2195E-02
.3020E+03 .4490E+00 .3229E-02 .9853E-03 .2456E-02
.3025E+03 .5080E+00 .4714E-02 .1478E-02 .3544E-02
.3030E+03 .6120E+00 .7762E-02 .2511E-02 .5752E-02
.3035E+03 .6460E+00 .9820E-02 .3226E-02 .7225E-02
.3040E+03 .6210E+00 .1035E-01 .3421E-02 .7596E-02
.3045E+03 .6260E+00 .1308E-01 .4332E-02 .9590E-02
.3050E+03 .6420E+00 .1808E-01 .5968E-02 .1327E-01
.3055E+03 .6110E+00 .2059E-01 .6795E-02 .1512E-01
.3060E+03 .5650E+00 .2044E-01 .6770E-02 .1498E-01
.3065E+03 .5750E+00 .2324E-01 .7710E-02 .1702E-01
.3070E+03 .6050E+00 .3078E-01 .1014E-01 .2261E-01
.3075E+03 .6310E+00 .3954E-01 .1293E-01 .2914E-01
.3080E+03 .6450E+00 .4197E-01 .1379E-01 .3088E-01
.3085E+03 .6405E+00 .4602E-01 .1511E-01 .3387E-01
.3090E+03 .5800E+00 .4888E-01 .1480E-01 .3730E-01
.3095E+03 .5000E+00 .5030E-01 .1569E-01 .3790E-01
.3100E+03 .5330E+00 .5822E-01 .1843E-01 .4357E-01
.3105E+03 .6520E+00 .7429E-01 .2377E-01 .5533E-01
.3110E+03 .7620E+00 .9286E-01 .3006E-01 .6878E-01
.3115E+03 .7440E+00 .9364E-01 .3057E-01 .6908E-01
.3120E+03 .7061E+00 .1017E+00 .3368E-01 .7452E-01
.3125E+03 .6760E+00 .1063E+00 .3556E-01 .7755E-01
.3130E+03 .6940E+00 .1145E+00 .3857E-01 .8318E-01
.3135E+03 .7240E+00 .1153E+00 .3905E-01 .8352E-01
.3140E+03 .7170E+00 .1264E+00 .4318E-01 .9121E-01
.3145E+03 .6760E+00 .1356E+00 .4658E-01 .9755E-01
.3150E+03 .6845E+00 .1410E+00 .4871E-01 .1011E+00
.3155E+03 .6320E+00 .1233E+00 .4291E-01 .8810E-01
.3160E+03 .5870E+00 .1270E+00 .4437E-01 .9054E-01
.3165E+03 .6490E+00 .1531E+00 .5363E-01 .1090E+00
.3170E+03 .7390E+00 .1745E+00 .6153E-01 .1238E+00
.3175E+03 .8019E+00 .1858E+00 .6600E-01 .1313E+00
.3180E+03 .7236E+00 .1780E+00 .6342E-01 .1256E+00
.3185E+03 .6800E+00 .1860E+00 .6618E-01 .1313E+00
.3190E+03 .7058E+00 .2037E+00 .7257E-01 .1437E+00
.3195E+03 .7332E+00 .1962E+00 .7082E-01 .1374E+00
.3200E+03 .7750E+00 .2056E+00 .7473E-01 .1435E+00
.3205E+03 .8260E+00 .2432E+00 .8812E-01 .1700E+00
.3210E+03 .7655E+00 .2461E+00 .8881E-01 .1725E+00
.3215E+03 .7190E+00 .2342E+00 .8489E-01 .1637E+00
.3220E+03 .7351E+00 .2195E+00 .8092E-01 .1519E+00
.3225E+03 .7115E+00 .2143E+00 .7942E-01 .1479E+00
.3230E+03 .6490E+00 .2083E+00 .7711E-01 .1439E+00
.3235E+03 .6814E+00 .2468E+00 .8881E-01 .1732E+00
.3240E+03 .7405E+00 .2727E+00 .9852E-01 .1909E+00
.3245E+03 .7880E+00 .2814E+00 .1027E+00 .1959E+00
.3250E+03 .8292E+00 .2725E+00 .1030E+00 .1859E+00
.3255E+03 .9138E+00 .3156E+00 .1192E+00 .2154E+00
.3260E+03 .9984E+00 .3756E+00 .1387E+00 .2598E+00
.3265E+03 .1017E+01 .3992E+00 .1473E+00 .2762E+00
.3270E+03 .1005E+01 .3904E+00 .1452E+00 .2689E+00
.3275E+03 .9868E+00 .3777E+00 .1416E+00 .2589E+00
.3280E+03 .9568E+00 .3469E+00 .1317E+00 .2360E+00
.3285E+03 .9340E+00 .3638E+00 .1377E+00 .2480E+00
.3290E+03 .1005E+01 .4111E+00 .1551E+00 .2808E+00
.3295E+03 .1096E+01 .4554E+00 .1723E+00 .3105E+00
.3300E+03 .1110E+01 .4580E+00 .1746E+00 .3108E+00
.3305E+03 .1043E+01 .4169E+00 .1608E+00 .2809E+00
.3310E+03 .9910E+00 .3923E+00 .1524E+00 .2632E+00
.3315E+03 .9940E+00 .4059E+00 .1578E+00 .2723E+00
.3320E+03 .9928E+00 .4219E+00 .1636E+00 .2834E+00
.3325E+03 .9800E+00 .4240E+00 .1646E+00 .2845E+00
.3330E+03 .9639E+00 .4144E+00 .1621E+00 .2768E+00
.3335E+03 .9370E+00 .3934E+00 .1555E+00 .2610E+00
.3340E+03 .9556E+00 .4007E+00 .1593E+00 .2649E+00
.3345E+03 .9886E+00 .4285E+00 .1701E+00 .2835E+00
.3350E+03 .1010E+01 .4458E+00 .1772E+00 .2947E+00
.3355E+03 .9745E+00 .4493E+00 .1733E+00 .3026E+00
.3360E+03 .8898E+00 .4118E+00 .1595E+00 .2765E+00
.3365E+03 .8290E+00 .3670E+00 .1481E+00 .2398E+00
.3370E+03 .8180E+00 .3592E+00 .1460E+00 .2334E+00
.3375E+03 .8773E+00 .3849E+00 .1572E+00 .2490E+00
.3380E+03 .9253E+00 .4165E+00 .1700E+00 .2694E+00
.3385E+03 .9578E+00 .4471E+00 .1783E+00 .2932E+00
.3390E+03 .9686E+00 .4515E+00 .1821E+00 .2937E+00
.3395E+03 .9890E+00 .4646E+00 .1872E+00 .3021E+00
.3400E+03 .1054E+01 .4811E+00 .1995E+00 .3064E+00
.3405E+03 .1046E+01 .4799E+00 .1997E+00 .3047E+00
.3410E+03 .9710E+00 .4597E+00 .1881E+00 .2950E+00
.3415E+03 .9590E+00 .4518E+00 .1877E+00 .2867E+00
.3420E+03 .9957E+00 .4696E+00 .1963E+00 .2963E+00
.3425E+03 .1028E+01 .4858E+00 .2044E+00 .3050E+00
.3430E+03 .1042E+01 .4960E+00 .2083E+00 .3115E+00
.3435E+03 .9830E+00 .4707E+00 .1975E+00 .2955E+00
.3440E+03 .8542E+00 .4006E+00 .1713E+00 .2477E+00
.3445E+03 .8130E+00 .3949E+00 .1652E+00 .2478E+00
.3450E+03 .9158E+00 .4424E+00 .1884E+00 .2739E+00
.3455E+03 .9702E+00 .4691E+00 .2014E+00 .2884E+00
.3460E+03 .9427E+00 .4565E+00 .1973E+00 .2791E+00
.3465E+03 .9559E+00 .4640E+00 .2015E+00 .2823E+00
.3470E+03 .9695E+00 .4735E+00 .2055E+00 .2880E+00
.3475E+03 .9332E+00 .4579E+00 .1991E+00 .2778E+00
.3480E+03 .9247E+00 .4533E+00 .1989E+00 .2729E+00
.3485E+03 .9372E+00 .4597E+00 .2029E+00 .2752E+00
.3490E+03 .8990E+00 .4423E+00 .1961E+00 .2636E+00
.3495E+03 .9197E+00 .4544E+00 .2020E+00 .2699E+00
.3500E+03 .1012E+01 .5016E+00 .2239E+00 .2968E+00
.3505E+03 .1085E+01 .5389E+00 .2414E+00 .3177E+00
.3510E+03 .1053E+01 .5253E+00 .2356E+00 .3091E+00
.3515E+03 .1013E+01 .5090E+00 .2275E+00 .3000E+00
.3520E+03 .9838E+00 .4945E+00 .2227E+00 .2894E+00
.3525E+03 .9260E+00 .4659E+00 .2111E+00 .2710E+00
.3530E+03 .9801E+00 .4942E+00 .2250E+00 .2861E+00
.3535E+03 .1075E+01 .5428E+00 .2482E+00 .3129E+00
.3540E+03 .1135E+01 .5733E+00 .2631E+00 .3291E+00
.3545E+03 .1144E+01 .5796E+00 .2668E+00 .3315E+00
.3550E+03 .1141E+01 .5799E+00 .2676E+00 .3307E+00
.3555E+03 .1096E+01 .5597E+00 .2591E+00 .3179E+00
.3560E+03 .1025E+01 .5249E+00 .2439E+00 .2970E+00
.3565E+03 .9591E+00 .4922E+00 .2294E+00 .2775E+00
.3570E+03 .8420E+00 .4329E+00 .2023E+00 .2432E+00
.3575E+03 .8501E+00 .4379E+00 .2053E+00 .2451E+00
.3580E+03 .7892E+00 .4074E+00 .1916E+00 .2271E+00
.3585E+03 .7310E+00 .3781E+00 .1784E+00 .2101E+00
.3590E+03 .8580E+00 .4449E+00 .2105E+00 .2463E+00
.3595E+03 .1032E+01 .5365E+00 .2543E+00 .2963E+00
.3600E+03 .1089E+01 .5673E+00 .2697E+00 .3120E+00
.3605E+03 .1027E+01 .5358E+00 .2556E+00 .2936E+00
.3610E+03 .9415E+00 .4929E+00 .2358E+00 .2691E+00
.3615E+03 .9180E+00 .4828E+00 .2316E+00 .2626E+00
.3620E+03 .9580E+00 .5061E+00 .2435E+00 .2744E+00
.3625E+03 .1045E+01 .5544E+00 .2674E+00 .2995E+00
.3630E+03 .1071E+01 .5704E+00 .2758E+00 .3072E+00
.3635E+03 .1038E+01 .5549E+00 .2690E+00 .2978E+00
.3640E+03 .1072E+01 .5748E+00 .2793E+00 .3074E+00
.3645E+03 .1059E+01 .5694E+00 .2774E+00 .3035E+00
.3650E+03 .1097E+01 .5914E+00 .2888E+00 .3141E+00
.3655E+03 .1204E+01 .6508E+00 .3187E+00 .3446E+00
.3660E+03 .1286E+01 .6974E+00 .3423E+00 .3680E+00
.3665E+03 .1284E+01 .6986E+00 .3438E+00 .3673E+00
.3670E+03 .1258E+01 .6856E+00 .3383E+00 .3593E+00
.3675E+03 .1232E+01 .6726E+00 .3327E+00 .3512E+00
.3680E+03 .1157E+01 .6333E+00 .3140E+00 .3296E+00
.3685E+03 .1146E+01 .6292E+00 .3127E+00 .3264E+00
.3690E+03 .1194E+01 .6578E+00 .3277E+00 .3401E+00
.3695E+03 .1279E+01 .7068E+00 .3529E+00 .3642E+00
.3700E+03 .1293E+01 .7167E+00 .3587E+00 .3681E+00
.3705E+03 .1166E+01 .6480E+00 .3250E+00 .3317E+00
.3710E+03 .1181E+01 .6583E+00 .3310E+00 .3358E+00
.3715E+03 .1225E+01 .6841E+00 .3447E+00 .3478E+00
.3720E+03 .1144E+01 .6405E+00 .3235E+00 .3245E+00
.3725E+03 .1088E+01 .6102E+00 .3089E+00 .3082E+00
.3730E+03 .1044E+01 .5879E+00 .2982E+00 .2959E+00
.3735E+03 .9390E+00 .5300E+00 .2694E+00 .2659E+00
.3740E+03 .9344E+00 .5287E+00 .2694E+00 .2644E+00
.3745E+03 .9250E+00 .5249E+00 .2680E+00 .2616E+00
.3750E+03 .9850E+00 .5601E+00 .2866E+00 .2783E+00
.3755E+03 .1087E+01 .6194E+00 .3176E+00 .3067E+00
.3760E+03 .1124E+01 .6415E+00 .3297E+00 .3166E+00
.3765E+03 .1104E+01 .6312E+00 .3251E+00 .3105E+00
.3770E+03 .1181E+01 .6773E+00 .3495E+00 .3321E+00
.3775E+03 .1315E+01 .7556E+00 .3908E+00 .3693E+00
.3780E+03 .1414E+01 .8141E+00 .4219E+00 .3965E+00
.3785E+03 .1376E+01 .7936E+00 .4122E+00 .3853E+00
.3790E+03 .1226E+01 .7079E+00 .3684E+00 .3425E+00
.3795E+03 .1098E+01 .6347E+00 .3310E+00 .3061E+00
.3800E+03 .1152E+01 .6672E+00 .3487E+00 .3207E+00
.3805E+03 .1231E+01 .7151E+00 .3744E+00 .3427E+00
.3810E+03 .1249E+01 .7278E+00 .3818E+00 .3477E+00
.3815E+03 .1122E+01 .6562E+00 .3448E+00 .3125E+00
.3820E+03 .9543E+00 .5595E+00 .2946E+00 .2657E+00
.3825E+03 .8231E+00 .4843E+00 .2554E+00 .2292E+00
.3830E+03 .7360E+00 .4342E+00 .2294E+00 .2049E+00
.3835E+03 .7110E+00 .4205E+00 .2226E+00 .1978E+00
.3840E+03 .8210E+00 .4866E+00 .2581E+00 .2281E+00
.3845E+03 .9862E+00 .5859E+00 .3113E+00 .2739E+00
.3850E+03 .1080E+01 .6433E+00 .3424E+00 .2997E+00
.3855E+03 .1030E+01 .6149E+00 .3279E+00 .2856E+00
.3860E+03 .9911E+00 .5934E+00 .3170E+00 .2748E+00
.3865E+03 .1028E+01 .6172E+00 .3303E+00 .2850E+00
.3870E+03 .1035E+01 .6229E+00 .3339E+00 .2867E+00
.3875E+03 .1019E+01 .6140E+00 .3297E+00 .2817E+00
.3880E+03 .1007E+01 .6083E+00 .3272E+00 .2782E+00
.3885E+03 .9974E+00 .6042E+00 .3255E+00 .2755E+00
.3890E+03 .1081E+01 .6561E+00 .3541E+00 .2982E+00
.3895E+03 .1196E+01 .7274E+00 .3933E+00 .3296E+00
.3900E+03 .1252E+01 .7633E+00 .4134E+00 .3449E+00
.3905E+03 .1260E+01 .7700E+00 .4177E+00 .3468E+00
.3910E+03 .1332E+01 .8159E+00 .4433E+00 .3663E+00
.3915E+03 .1349E+01 .8276E+00 .4505E+00 .3705E+00
.3920E+03 .1240E+01 .7622E+00 .4155E+00 .3401E+00
.3925E+03 .1031E+01 .6355E+00 .3470E+00 .2827E+00
.3930E+03 .7450E+00 .4603E+00 .2517E+00 .2042E+00
.3935E+03 .5912E+00 .3661E+00 .2005E+00 .1619E+00
.3940E+03 .7667E+00 .4757E+00 .2610E+00 .2098E+00
.3945E+03 .1056E+01 .6565E+00 .3607E+00 .2886E+00
.3950E+03 .1245E+01 .7755E+00 .4268E+00 .3399E+00
.3955E+03 .1324E+01 .8263E+00 .4554E+00 .3610E+00
.3960E+03 .1163E+01 .7267E+00 .4012E+00 .3166E+00
.3965E+03 .8433E+00 .5287E+00 .2923E+00 .2296E+00
.3970E+03 .6520E+00 .4096E+00 .2268E+00 .1774E+00
.3975E+03 .9614E+00 .6051E+00 .3356E+00 .2612E+00
.3980E+03 .1301E+01 .8197E+00 .4553E+00 .3528E+00
.3985E+03 .1534E+01 .9684E+00 .5387E+00 .4155E+00
.3990E+03 .1625E+01 .1029E+01 .5730E+00 .4401E+00
.3995E+03 .1672E+01 .1060E+01 .5916E+00 .4524E+00
.4000E+03 .1689E+01 .1072E+01 .5990E+00 .4560E+00
Wvlgth Extraterrestrial_spectrm Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar
.2800E+03 .8200E-01 .5479E-20 .2199E-20 .3545E-20
.2805E+03 .9900E-01 .1033E-18 .4502E-19 .6298E-19
.2810E+03 .1500E+00 .4231E-18 .1923E-18 .2491E-18
.2815E+03 .2120E+00 .8618E-17 .4203E-17 .4760E-17
.2820E+03 .2670E+00 .5474E-16 .2799E-16 .2882E-16
.2825E+03 .3030E+00 .1840E-15 .9756E-16 .9302E-16
.2830E+03 .3250E+00 .6534E-15 .3596E-15 .3160E-15
.2835E+03 .3230E+00 .1169E-14 .6611E-15 .5457E-15
.2840E+03 .2990E+00 .1786E-13 .1065E-13 .7728E-14
.2845E+03 .2502E+00 .5359E-13 .3281E-13 .2227E-13
.2850E+03 .1759E+00 .2185E-12 .9433E-13 .1341E-12
.2855E+03 .1550E+00 .1041E-11 .4368E-12 .6526E-12
.2860E+03 .2420E+00 .3171E-11 .1336E-11 .1982E-11
.2865E+03 .3330E+00 .1779E-10 .7303E-11 .1133E-10
.2870E+03 .3620E+00 .5433E-10 .2197E-10 .3496E-10
.2875E+03 .3390E+00 .2009E-09 .7814E-10 .1327E-09
.2880E+03 .3110E+00 .8382E-09 .3851E-09 .4888E-09
.2885E+03 .3250E+00 .2157E-08 .9837E-09 .1266E-08
.2890E+03 .3920E+00 .6608E-08 .2981E-08 .3914E-08
.2895E+03 .4790E+00 .2273E-07 .1004E-07 .1370E-07
.2900E+03 .5630E+00 .6209E-07 .2704E-07 .3785E-07
.2905E+03 .6060E+00 .1349E-06 .5826E-07 .8271E-07
.2910E+03 .6180E+00 .3246E-06 .1371E-06 .2025E-06
.2915E+03 .5980E+00 .9601E-06 .3839E-06 .6227E-06
.2920E+03 .5670E+00 .2012E-05 .8651E-06 .1239E-05
.2925E+03 .5290E+00 .2985E-05 .1314E-05 .1803E-05
.2930E+03 .5380E+00 .5574E-05 .2497E-05 .3321E-05
.2935E+03 .5490E+00 .1327E-04 .5969E-05 .7882E-05
.2940E+03 .5330E+00 .2238E-04 .1030E-04 .1303E-04
.2945E+03 .5200E+00 .3508E-04 .1553E-04 .2110E-04
.2950E+03 .5270E+00 .6392E-04 .2718E-04 .3968E-04
.2955E+03 .5590E+00 .1158E-03 .5663E-04 .6372E-04
.2960E+03 .5730E+00 .1924E-03 .9217E-04 .1080E-03
.2965E+03 .5210E+00 .2773E-03 .1300E-03 .1588E-03
.2970E+03 .4780E+00 .3669E-03 .1689E-03 .2135E-03
.2975E+03 .5290E+00 .6806E-03 .3043E-03 .4061E-03
.2980E+03 .5280E+00 .1031E-02 .4498E-03 .6276E-03
.2985E+03 .4680E+00 .1249E-02 .5343E-03 .7714E-03
.2990E+03 .4720E+00 .1688E-02 .7084E-03 .1058E-02
.2995E+03 .5010E+00 .2873E-02 .1163E-02 .1848E-02
.3000E+03 .4579E+00 .3361E-02 .1336E-02 .2188E-02
.3005E+03 .4330E+00 .4052E-02 .1580E-02 .2671E-02
.3010E+03 .4630E+00 .6184E-02 .2334E-02 .4162E-02
.3015E+03 .4776E+00 .8528E-02 .3131E-02 .5835E-02
.3020E+03 .4490E+00 .9163E-02 .3343E-02 .6292E-02
.3025E+03 .5080E+00 .1284E-01 .4741E-02 .8758E-02
.3030E+03 .6120E+00 .2010E-01 .7520E-02 .1360E-01
.3035E+03 .6460E+00 .2466E-01 .9292E-02 .1661E-01
.3040E+03 .6210E+00 .2554E-01 .9662E-02 .1717E-01
.3045E+03 .6260E+00 .3090E-01 .1169E-01 .2076E-01
.3050E+03 .6420E+00 .4027E-01 .1519E-01 .2711E-01
.3055E+03 .6110E+00 .4426E-01 .1669E-01 .2981E-01
.3060E+03 .5650E+00 .4332E-01 .1638E-01 .2912E-01
.3065E+03 .5750E+00 .4817E-01 .1824E-01 .3235E-01
.3070E+03 .6050E+00 .6085E-01 .2295E-01 .4097E-01
.3075E+03 .6310E+00 .7483E-01 .2811E-01 .5050E-01
.3080E+03 .6450E+00 .7885E-01 .2972E-01 .5310E-01
.3085E+03 .6405E+00 .8466E-01 .3193E-01 .5699E-01
.3090E+03 .5800E+00 .8793E-01 .3080E-01 .6178E-01
.3095E+03 .5000E+00 .8764E-01 .3133E-01 .6089E-01
.3100E+03 .5330E+00 .9991E-01 .3610E-01 .6899E-01
.3105E+03 .6520E+00 .1265E+00 .4606E-01 .8694E-01
.3110E+03 .7620E+00 .1561E+00 .5735E-01 .1068E+00
.3115E+03 .7440E+00 .1565E+00 .5785E-01 .1066E+00
.3120E+03 .7061E+00 .1655E+00 .6187E-01 .1120E+00
.3125E+03 .6760E+00 .1700E+00 .6406E-01 .1145E+00
.3130E+03 .6940E+00 .1813E+00 .6873E-01 .1217E+00
.3135E+03 .7240E+00 .1840E+00 .7000E-01 .1232E+00
.3140E+03 .7170E+00 .1975E+00 .7571E-01 .1316E+00
.3145E+03 .6760E+00 .2061E+00 .7952E-01 .1368E+00
.3150E+03 .6845E+00 .2132E+00 .8262E-01 .1410E+00
.3155E+03 .6320E+00 .1887E+00 .7346E-01 .1245E+00
.3160E+03 .5870E+00 .1901E+00 .7436E-01 .1250E+00
.3165E+03 .6490E+00 .2248E+00 .8830E-01 .1474E+00
.3170E+03 .7390E+00 .2562E+00 .1011E+00 .1675E+00
.3175E+03 .8019E+00 .2741E+00 .1087E+00 .1786E+00
.3180E+03 .7236E+00 .2591E+00 .1032E+00 .1684E+00
.3185E+03 .6800E+00 .2643E+00 .1055E+00 .1715E+00
.3190E+03 .7058E+00 .2858E+00 .1144E+00 .1851E+00
.3195E+03 .7332E+00 .2804E+00 .1130E+00 .1808E+00
.3200E+03 .7750E+00 .2946E+00 .1193E+00 .1893E+00
.3205E+03 .8260E+00 .3399E+00 .1379E+00 .2182E+00
.3210E+03 .7655E+00 .3367E+00 .1366E+00 .2160E+00
.3215E+03 .7190E+00 .3194E+00 .1302E+00 .2044E+00
.3220E+03 .7351E+00 .3061E+00 .1258E+00 .1947E+00
.3225E+03 .7115E+00 .2984E+00 .1231E+00 .1892E+00
.3230E+03 .6490E+00 .2857E+00 .1181E+00 .1809E+00
.3235E+03 .6814E+00 .3345E+00 .1335E+00 .2170E+00
.3240E+03 .7405E+00 .3685E+00 .1475E+00 .2386E+00
.3245E+03 .7880E+00 .3823E+00 .1544E+00 .2461E+00
.3250E+03 .8292E+00 .3719E+00 .1564E+00 .2326E+00
.3255E+03 .9138E+00 .4254E+00 .1792E+00 .2657E+00
.3260E+03 .9984E+00 .5057E+00 .2058E+00 .3237E+00
.3265E+03 .1017E+01 .5331E+00 .2168E+00 .3415E+00
.3270E+03 .1005E+01 .5225E+00 .2138E+00 .3333E+00
.3275E+03 .9868E+00 .5070E+00 .2088E+00 .3218E+00
.3280E+03 .9568E+00 .4702E+00 .1958E+00 .2961E+00
.3285E+03 .9340E+00 .4868E+00 .2019E+00 .3075E+00
.3290E+03 .1005E+01 .5447E+00 .2254E+00 .3446E+00
.3295E+03 .1096E+01 .6013E+00 .2495E+00 .3798E+00
.3300E+03 .1110E+01 .6057E+00 .2527E+00 .3810E+00
.3305E+03 .1043E+01 .5551E+00 .2337E+00 .3468E+00
.3310E+03 .9910E+00 .5234E+00 .2216E+00 .3256E+00
.3315E+03 .9940E+00 .5383E+00 .2280E+00 .3348E+00
.3320E+03 .9928E+00 .5549E+00 .2347E+00 .3455E+00
.3325E+03 .9800E+00 .5554E+00 .2353E+00 .3454E+00
.3330E+03 .9639E+00 .5437E+00 .2316E+00 .3367E+00
.3335E+03 .9370E+00 .5188E+00 .2228E+00 .3193E+00
.3340E+03 .9556E+00 .5286E+00 .2280E+00 .3242E+00
.3345E+03 .9886E+00 .5613E+00 .2420E+00 .3444E+00
.3350E+03 .1010E+01 .5815E+00 .2510E+00 .3565E+00
.3355E+03 .9745E+00 .5875E+00 .2449E+00 .3697E+00
.3360E+03 .8898E+00 .5381E+00 .2250E+00 .3377E+00
.3365E+03 .8290E+00 .4785E+00 .2090E+00 .2903E+00
.3370E+03 .8180E+00 .4692E+00 .2061E+00 .2832E+00
.3375E+03 .8773E+00 .5029E+00 .2218E+00 .3024E+00
.3380E+03 .9253E+00 .5410E+00 .2386E+00 .3251E+00
.3385E+03 .9578E+00 .5817E+00 .2496E+00 .3569E+00
.3390E+03 .9686E+00 .5867E+00 .2544E+00 .3569E+00
.3395E+03 .9890E+00 .6034E+00 .2612E+00 .3673E+00
.3400E+03 .1054E+01 .6227E+00 .2784E+00 .3692E+00
.3405E+03 .1046E+01 .6204E+00 .2782E+00 .3667E+00
.3410E+03 .9710E+00 .5954E+00 .2612E+00 .3580E+00
.3415E+03 .9590E+00 .5843E+00 .2601E+00 .3470E+00
.3420E+03 .9957E+00 .6068E+00 .2717E+00 .3584E+00
.3425E+03 .1028E+01 .6271E+00 .2823E+00 .3685E+00
.3430E+03 .1042E+01 .6400E+00 .2874E+00 .3767E+00
.3435E+03 .9830E+00 .6071E+00 .2723E+00 .3575E+00
.3440E+03 .8542E+00 .5149E+00 .2363E+00 .2972E+00
.3445E+03 .8130E+00 .5087E+00 .2273E+00 .3002E+00
.3450E+03 .9158E+00 .5689E+00 .2585E+00 .3307E+00
.3455E+03 .9702E+00 .6025E+00 .2759E+00 .3478E+00
.3460E+03 .9427E+00 .5857E+00 .2698E+00 .3362E+00
.3465E+03 .9559E+00 .5948E+00 .2752E+00 .3398E+00
.3470E+03 .9695E+00 .6067E+00 .2804E+00 .3468E+00
.3475E+03 .9332E+00 .5862E+00 .2712E+00 .3346E+00
.3480E+03 .9247E+00 .5797E+00 .2705E+00 .3282E+00
.3485E+03 .9372E+00 .5872E+00 .2756E+00 .3305E+00
.3490E+03 .8990E+00 .5645E+00 .2660E+00 .3164E+00
.3495E+03 .9197E+00 .5794E+00 .2736E+00 .3239E+00
.3500E+03 .1012E+01 .6391E+00 .3028E+00 .3560E+00
.3505E+03 .1085E+01 .6862E+00 .3261E+00 .3808E+00
.3510E+03 .1053E+01 .6685E+00 .3179E+00 .3706E+00
.3515E+03 .1013E+01 .6476E+00 .3067E+00 .3601E+00
.3520E+03 .9838E+00 .6285E+00 .2998E+00 .3469E+00
.3525E+03 .9260E+00 .5914E+00 .2838E+00 .3245E+00
.3530E+03 .9801E+00 .6268E+00 .3021E+00 .3423E+00
.3535E+03 .1075E+01 .6879E+00 .3328E+00 .3740E+00
.3540E+03 .1135E+01 .7260E+00 .3525E+00 .3931E+00
.3545E+03 .1144E+01 .7334E+00 .3571E+00 .3958E+00
.3550E+03 .1141E+01 .7333E+00 .3577E+00 .3948E+00
.3555E+03 .1096E+01 .7070E+00 .3459E+00 .3794E+00
.3560E+03 .1025E+01 .6625E+00 .3250E+00 .3543E+00
.3565E+03 .9591E+00 .6208E+00 .3054E+00 .3309E+00
