Lambda	Vlambda_CIE_1924+interpolation
523	0.7619694
524	0.7778368
525	0.7932
526	0.8081104
527	0.8224962
528	0.8363068
529	0.8494916
530	0.862
531	0.8738108
532	0.8849624
533	0.8954936
534	0.9054432
535	0.9148501
536	0.9237348
537	0.9320924
538	0.9399226
539	0.9472252
540	0.954
541	0.9602561
542	0.9660074
543	0.9712606
544	0.9760225
545	0.9803
546	0.9840924
547	0.9874182
548	0.9903128
549	0.9928116
550	0.9949501
551	0.9967108
552	0.9980983
553	0.999112
554	0.9997482
555	1
556	0.9998567
557	0.9993046
558	0.9983255
559	0.9968987
560	0.995
561	0.9926005
562	0.9897426
563	0.9864444
564	0.9827241
565	0.9786
566	0.9740837
567	0.9691712
568	0.9638568
569	0.9581349
570	0.952
571	0.9454504
572	0.9384992
573	0.9311628
574	0.9234576
575	0.9154
576	0.9070064
577	0.8982772
578	0.8892048
579	0.8797816
580	0.87
581	0.8598613
582	0.849392
583	0.838622
584	0.8275813
585	0.8163
586	0.8047947
587	0.793082
588	0.781192
589	0.7691547
590	0.757
591	0.7447541
592	0.7324224
593	0.7200036
594	0.7074965
595	0.6949
596	0.6822192
597	0.6694716
598	0.6566744
599	0.6438448
600	0.631
601	0.6181555
602	0.6053144
603	0.5924756
604	0.5796379
605	0.5668
606	0.5539611
607	0.5411372
608	0.5283528
609	0.5156323
610	0.503
611	0.4904688
612	0.4780304
613	0.4656776
614	0.4534032
615	0.4412
616	0.42908
617	0.417036
618	0.405032
619	0.393032
620	0.381
621	0.3689184
622	0.3568272
623	0.3447768
624	0.3328176
625	0.321
626	0.3093381
627	0.2978504
628	0.2865936
629	0.2756245
630	0.265
631	0.2547632
632	0.2448896
633	0.2353344
634	0.2260528
635	0.217
636	0.2081616
637	0.1995488
638	0.1911552
639	0.1829744
640	0.175
641	0.1672235
642	0.1596464
643	0.1522776
644	0.1451259
645	0.1382
646	0.1315003
647	0.1250248
648	0.1187792
649	0.1127691
650	0.107
651	0.1014762
652	0.09618864
653	0.09112296
654	0.08626485
655	0.0816
656	0.07712064
657	0.07282552
658	0.06871008
659	0.06476976
660	0.061
661	0.05739621
662	0.05395504
663	0.05067376
664	0.04754965
665	0.04458
666	0.04175872
667	0.03908496
668	0.03656384
669	0.03420048
670	0.032
671	0.02996261
672	0.02807664
673	0.02632936
674	0.02470805
675	0.0232
676	0.02180077
677	0.02050112
678	0.01928108
679	0.01812069
680	0.017
681	0.01590379
682	0.01483718
683	0.01381068
684	0.01283478
685	0.01192
686	0.01106831
687	0.01027339
688	0.009533311
689	0.008846157
690	0.00821
691	0.007623781
692	0.007085424
693	0.006591476
694	0.006138485
695	0.005723
696	0.005343059
697	0.004995796
698	0.004676404
699	0.004380075
700	0.004102
701	0.003838453
702	0.003589099
703	0.003354219
704	0.003134093
705	0.002929
706	0.002738139
707	0.002559876
708	0.002393244
709	0.002237275
710	0.002091
711	0.001953587
712	0.00182458
713	0.00170358
714	0.001590187
715	0.001484
716	0.001384496
717	0.001291268
718	0.001204092
719	0.001122744
720	0.001047
721	0.00097659
722	0.000911109
723	0.000850133
724	0.000793238
725	0.00074
726	0.000690083
727	0.00064331
728	0.000599496
729	0.000558455
730	0.00052
731	0.000483914
732	0.000450053
733	0.000418345
734	0.000388718
735	0.0003611
736	0.000335384
737	0.00031144
738	0.000289166
739	0.000268454
740	0.0002492
741	0.000231302
742	0.000214686
743	0.000199288
744	0.000185048
745	0.0001719
746	0.000159778
747	0.000148604
748	0.000138302
749	0.000128793
750	0.00012
751	0.00011186
752	0.000104322
753	9.73E-05
754	9.08E-05
755	0.0000848
756	7.91E-05
757	0.000073858
758	0.000068916
759	6.43E-05
760	0.00006
761	5.60E-05
762	5.22E-05
763	4.87E-05
764	4.54E-05
765	0.0000424
766	0.000039561
767	3.69E-05
768	3.44E-05
769	3.21E-05
770	0.00003
771	2.80E-05
772	2.61E-05
773	2.44E-05
774	2.27E-05
775	0.0000212
776	1.98E-05
777	1.85E-05
778	1.72E-05
779	1.61E-05
780	0.00001499
781	1.40E-05
782	1.31E-05
783	1.22E-05
784	1.14E-05
785	0.0000106
786	9.89E-06
787	9.22E-06
788	8.59E-06
789	8.01E-06
790	7.47E-06
791	6.96E-06
792	0.000006488
793	6.05E-06
794	5.64E-06
795	5.26E-06
796	4.90E-06
797	4.57E-06
798	4.26E-06
799	3.97E-06
800	3.70E-06
801	3.45E-06
802	3.22E-06
803	3.00E-06
804	2.80E-06
805	2.61E-06
806	2.43E-06
807	2.27E-06
808	2.11E-06
809	1.97E-06
810	1.84E-06
811	1.71E-06
812	1.60E-06
813	1.49E-06
814	1.39E-06
815	1.29E-06
816	1.21E-06
817	1.12E-06
818	1.05E-06
819	9.77E-07
820	9.11E-07
821	8.49E-07
822	7.92E-07
823	7.38E-07
824	6.88E-07
825	6.42E-07
826	5.98E-07
827	5.58E-07
828	5.20E-07
829	4.85E-07
830	4.52E-07
