Wvlgth Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Zonal_ground_reflectance
.3450E+03 .4990E+00 .2780E+00 .2430E+00 .2000E+00
.3455E+03 .5294E+00 .2970E+00 .2556E+00 .2000E+00
.3460E+03 .5154E+00 .2907E+00 .2471E+00 .2000E+00
.3465E+03 .5238E+00 .2968E+00 .2496E+00 .2000E+00
.3470E+03 .5338E+00 .3025E+00 .2543E+00 .2000E+00
.3475E+03 .5156E+00 .2929E+00 .2450E+00 .2000E+00
.3480E+03 .5110E+00 .2925E+00 .2404E+00 .2000E+00
.3485E+03 .5183E+00 .2982E+00 .2421E+00 .2000E+00
.3490E+03 .4986E+00 .2880E+00 .2317E+00 .2000E+00
.3495E+03 .5119E+00 .2966E+00 .2370E+00 .2000E+00
.3500E+03 .5649E+00 .3285E+00 .2602E+00 .2000E+00
.3505E+03 .6068E+00 .3540E+00 .2782E+00 .2000E+00
.3510E+03 .5909E+00 .3453E+00 .2703E+00 .2000E+00
.3515E+03 .5711E+00 .3332E+00 .2619E+00 .2000E+00
.3520E+03 .5554E+00 .3261E+00 .2524E+00 .2000E+00
.3525E+03 .5233E+00 .3089E+00 .2361E+00 .2000E+00
.3530E+03 .5552E+00 .3291E+00 .2489E+00 .2000E+00
.3535E+03 .6097E+00 .3628E+00 .2719E+00 .2000E+00
.3540E+03 .6437E+00 .3844E+00 .2855E+00 .2000E+00
.3545E+03 .6504E+00 .3896E+00 .2872E+00 .2000E+00
.3550E+03 .6504E+00 .3906E+00 .2862E+00 .2000E+00
.3555E+03 .6275E+00 .3780E+00 .2748E+00 .2000E+00
.3560E+03 .5883E+00 .3555E+00 .2564E+00 .2000E+00
.3565E+03 .5514E+00 .3343E+00 .2392E+00 .2000E+00
.3570E+03 .4847E+00 .2947E+00 .2094E+00 .2000E+00
.3575E+03 .4901E+00 .2989E+00 .2107E+00 .2000E+00
.3580E+03 .4558E+00 .2788E+00 .1950E+00 .2000E+00
.3585E+03 .4229E+00 .2595E+00 .1801E+00 .2000E+00
.3590E+03 .4972E+00 .3059E+00 .2109E+00 .2000E+00
.3595E+03 .5992E+00 .3694E+00 .2533E+00 .2000E+00
.3600E+03 .6334E+00 .3916E+00 .2665E+00 .2000E+00
.3605E+03 .5980E+00 .3709E+00 .2504E+00 .2000E+00
.3610E+03 .5500E+00 .3421E+00 .2292E+00 .2000E+00
.3615E+03 .5384E+00 .3358E+00 .2234E+00 .2000E+00
.3620E+03 .5642E+00 .3528E+00 .2331E+00 .2000E+00
.3625E+03 .6177E+00 .3873E+00 .2541E+00 .2000E+00
.3630E+03 .6352E+00 .3993E+00 .2602E+00 .2000E+00
.3635E+03 .6176E+00 .3892E+00 .2520E+00 .2000E+00
.3640E+03 .6394E+00 .4039E+00 .2597E+00 .2000E+00
.3645E+03 .6332E+00 .4010E+00 .2561E+00 .2000E+00
.3650E+03 .6572E+00 .4173E+00 .2647E+00 .2000E+00
.3655E+03 .7230E+00 .4602E+00 .2899E+00 .2000E+00
.3660E+03 .7743E+00 .4941E+00 .3092E+00 .2000E+00
.3665E+03 .7753E+00 .4960E+00 .3083E+00 .2000E+00
.3670E+03 .7605E+00 .4877E+00 .3011E+00 .2000E+00
.3675E+03 .7458E+00 .4795E+00 .2939E+00 .2000E+00
.3680E+03 .7018E+00 .4523E+00 .2754E+00 .2000E+00
.3685E+03 .6969E+00 .4502E+00 .2724E+00 .2000E+00
.3690E+03 .7282E+00 .4715E+00 .2834E+00 .2000E+00
.3695E+03 .7821E+00 .5076E+00 .3031E+00 .2000E+00
.3700E+03 .7927E+00 .5156E+00 .3059E+00 .2000E+00
.3705E+03 .7164E+00 .4671E+00 .2753E+00 .2000E+00
.3710E+03 .7274E+00 .4753E+00 .2784E+00 .2000E+00
.3715E+03 .7556E+00 .4949E+00 .2879E+00 .2000E+00
.3720E+03 .7070E+00 .4641E+00 .2683E+00 .2000E+00
.3725E+03 .6733E+00 .4430E+00 .2544E+00 .2000E+00
.3730E+03 .6483E+00 .4275E+00 .2440E+00 .2000E+00
.3735E+03 .5842E+00 .3861E+00 .2189E+00 .2000E+00
.3740E+03 .5825E+00 .3858E+00 .2174E+00 .2000E+00
.3745E+03 .5780E+00 .3836E+00 .2148E+00 .2000E+00
.3750E+03 .6165E+00 .4101E+00 .2282E+00 .2000E+00
.3755E+03 .6815E+00 .4543E+00 .2511E+00 .2000E+00
.3760E+03 .7054E+00 .4713E+00 .2589E+00 .2000E+00
.3765E+03 .6938E+00 .4645E+00 .2535E+00 .2000E+00
.3770E+03 .7441E+00 .4992E+00 .2708E+00 .2000E+00
.3775E+03 .8298E+00 .5578E+00 .3007E+00 .2000E+00
.3780E+03 .8936E+00 .6020E+00 .3224E+00 .2000E+00
.3785E+03 .8707E+00 .5878E+00 .3129E+00 .2000E+00
.3790E+03 .7763E+00 .5252E+00 .2778E+00 .2000E+00
.3795E+03 .6958E+00 .4716E+00 .2479E+00 .2000E+00
.3800E+03 .7310E+00 .4966E+00 .2594E+00 .2000E+00
.3805E+03 .7831E+00 .5329E+00 .2767E+00 .2000E+00
.3810E+03 .7966E+00 .5432E+00 .2804E+00 .2000E+00
.3815E+03 .7179E+00 .4904E+00 .2517E+00 .2000E+00
.3820E+03 .6119E+00 .4188E+00 .2137E+00 .2000E+00
.3825E+03 .5293E+00 .3629E+00 .1841E+00 .2000E+00
.3830E+03 .4743E+00 .3259E+00 .1643E+00 .2000E+00
.3835E+03 .4591E+00 .3160E+00 .1584E+00 .2000E+00
.3840E+03 .5311E+00 .3662E+00 .1825E+00 .2000E+00
.3845E+03 .6392E+00 .4416E+00 .2188E+00 .2000E+00
.3850E+03 .7014E+00 .4855E+00 .2391E+00 .2000E+00
.3855E+03 .6701E+00 .4646E+00 .2275E+00 .2000E+00
.3860E+03 .6464E+00 .4490E+00 .2186E+00 .2000E+00
.3865E+03 .6720E+00 .4676E+00 .2264E+00 .2000E+00
.3870E+03 .6779E+00 .4725E+00 .2274E+00 .2000E+00
.3875E+03 .6679E+00 .4664E+00 .2232E+00 .2000E+00
.3880E+03 .6613E+00 .4626E+00 .2201E+00 .2000E+00
.3885E+03 .6566E+00 .4601E+00 .2177E+00 .2000E+00
.3890E+03 .7127E+00 .5003E+00 .2353E+00 .2000E+00
.3895E+03 .7898E+00 .5553E+00 .2598E+00 .2000E+00
.3900E+03 .8284E+00 .5835E+00 .2714E+00 .2000E+00
.3905E+03 .8352E+00 .5893E+00 .2725E+00 .2000E+00
.3910E+03 .8846E+00 .6252E+00 .2875E+00 .2000E+00
.3915E+03 .8970E+00 .6350E+00 .2904E+00 .2000E+00
.3920E+03 .8256E+00 .5855E+00 .2662E+00 .2000E+00
.3925E+03 .6880E+00 .4887E+00 .2210E+00 .2000E+00
.3930E+03 .4981E+00 .3544E+00 .1594E+00 .2000E+00
.3935E+03 .3960E+00 .2822E+00 .1262E+00 .2000E+00
.3940E+03 .5144E+00 .3671E+00 .1633E+00 .2000E+00
.3945E+03 .7095E+00 .5072E+00 .2244E+00 .2000E+00
.3950E+03 .8378E+00 .5999E+00 .2639E+00 .2000E+00
.3955E+03 .8922E+00 .6398E+00 .2799E+00 .2000E+00
.3960E+03 .7844E+00 .5634E+00 .2452E+00 .2000E+00
.3965E+03 .5703E+00 .4103E+00 .1776E+00 .2000E+00
.3970E+03 .4417E+00 .3182E+00 .1370E+00 .2000E+00
.3975E+03 .6522E+00 .4707E+00 .2015E+00 .2000E+00
.3980E+03 .8831E+00 .6383E+00 .2718E+00 .2000E+00
.3985E+03 .1043E+01 .7548E+00 .3197E+00 .2000E+00
.3990E+03 .1107E+01 .8026E+00 .3382E+00 .2000E+00
.3995E+03 .1141E+01 .8283E+00 .3471E+00 .2000E+00
.4000E+03 .1153E+01 .8384E+00 .3494E+00 .2000E+00
.4010E+03 .1199E+01 .8753E+00 .3590E+00 .2000E+00
.4020E+03 .1246E+01 .9122E+00 .3704E+00 .2000E+00
.4030E+03 .1199E+01 .8805E+00 .3540E+00 .2000E+00
.4040E+03 .1218E+01 .8969E+00 .3569E+00 .2000E+00
.4050E+03 .1188E+01 .8769E+00 .3455E+00 .2000E+00
.4060E+03 .1158E+01 .8572E+00 .3344E+00 .2000E+00
.4070E+03 .1137E+01 .8439E+00 .3260E+00 .2000E+00
.4080E+03 .1187E+01 .8833E+00 .3378E+00 .2000E+00
.4090E+03 .1267E+01 .9455E+00 .3580E+00 .2000E+00
.4100E+03 .1080E+01 .8077E+00 .3029E+00 .2000E+00
.4110E+03 .1208E+01 .9061E+00 .3365E+00 .2000E+00
.4120E+03 .1284E+01 .9652E+00 .3551E+00 .2000E+00
.4130E+03 .1232E+01 .9279E+00 .3381E+00 .2000E+00
.4140E+03 .1218E+01 .9197E+00 .3320E+00 .2000E+00
.4150E+03 .1260E+01 .9540E+00 .3411E+00 .2000E+00
.4160E+03 .1298E+01 .9846E+00 .3488E+00 .2000E+00
.4170E+03 .1265E+01 .9622E+00 .3377E+00 .2000E+00
.4180E+03 .1210E+01 .9223E+00 .3207E+00 .2000E+00
.4190E+03 .1259E+01 .9619E+00 .3314E+00 .2000E+00
.4200E+03 .1154E+01 .8831E+00 .3014E+00 .2000E+00
.4210E+03 .1310E+01 .1005E+01 .3399E+00 .2000E+00
.4220E+03 .1292E+01 .9933E+00 .3329E+00 .2000E+00
.4230E+03 .1251E+01 .9637E+00 .3200E+00 .2000E+00
.4240E+03 .1243E+01 .9602E+00 .3159E+00 .2000E+00
.4250E+03 .1281E+01 .9914E+00 .3234E+00 .2000E+00
.4260E+03 .1245E+01 .9650E+00 .3120E+00 .2000E+00
.4270E+03 .1202E+01 .9339E+00 .2993E+00 .2000E+00
.4280E+03 .1213E+01 .9446E+00 .3001E+00 .2000E+00
.4290E+03 .1123E+01 .8762E+00 .2760E+00 .2000E+00
.4300E+03 .8959E+00 .7002E+00 .2187E+00 .2000E+00
.4310E+03 .8131E+00 .6367E+00 .1971E+00 .2000E+00
.4320E+03 .1352E+01 .1061E+01 .3256E+00 .2000E+00
.4330E+03 .1258E+01 .9888E+00 .3009E+00 .2000E+00
.4340E+03 .1162E+01 .9150E+00 .2760E+00 .2000E+00
.4350E+03 .1274E+01 .1005E+01 .3007E+00 .2000E+00
.4360E+03 .1397E+01 .1104E+01 .3276E+00 .2000E+00
.4370E+03 .1426E+01 .1129E+01 .3321E+00 .2000E+00
.4380E+03 .1251E+01 .9920E+00 .2895E+00 .2000E+00
.4390E+03 .1203E+01 .9559E+00 .2764E+00 .2000E+00
.4400E+03 .1379E+01 .1097E+01 .3147E+00 .2000E+00
.4410E+03 .1359E+01 .1084E+01 .3083E+00 .2000E+00
.4420E+03 .1455E+01 .1162E+01 .3278E+00 .2000E+00
.4430E+03 .1475E+01 .1180E+01 .3301E+00 .2000E+00
.4440E+03 .1437E+01 .1152E+01 .3196E+00 .2000E+00
.4450E+03 .1491E+01 .1197E+01 .3295E+00 .2000E+00
.4460E+03 .1337E+01 .1075E+01 .2936E+00 .2000E+00
.4470E+03 .1520E+01 .1224E+01 .3317E+00 .2000E+00
.4480E+03 .1537E+01 .1240E+01 .3334E+00 .2000E+00
.4490E+03 .1533E+01 .1239E+01 .3305E+00 .2000E+00
.4500E+03 .1589E+01 .1286E+01 .3403E+00 .2000E+00
.4510E+03 .1648E+01 .1335E+01 .3506E+00 .2000E+00
.4520E+03 .1577E+01 .1280E+01 .3335E+00 .2000E+00
.4530E+03 .1456E+01 .1184E+01 .3060E+00 .2000E+00
.4540E+03 .1561E+01 .1271E+01 .3261E+00 .2000E+00
.4550E+03 .1550E+01 .1263E+01 .3216E+00 .2000E+00
.4560E+03 .1600E+01 .1307E+01 .3300E+00 .2000E+00
.4570E+03 .1613E+01 .1319E+01 .3305E+00 .2000E+00
.4580E+03 .1578E+01 .1293E+01 .3211E+00 .2000E+00
.4590E+03 .1565E+01 .1284E+01 .3164E+00 .2000E+00
.4600E+03 .1555E+01 .1277E+01 .3122E+00 .2000E+00
.4610E+03 .1609E+01 .1323E+01 .3210E+00 .2000E+00
.4620E+03 .1623E+01 .1337E+01 .3219E+00 .2000E+00
.4630E+03 .1628E+01 .1343E+01 .3209E+00 .2000E+00
.4640E+03 .1578E+01 .1303E+01 .3093E+00 .2000E+00
.4650E+03 .1558E+01 .1288E+01 .3037E+00 .2000E+00
.4660E+03 .1591E+01 .1317E+01 .3082E+00 .2000E+00
.4670E+03 .1519E+01 .1260E+01 .2925E+00 .2000E+00
.4680E+03 .1585E+01 .1316E+01 .3032E+00 .2000E+00
.4690E+03 .1591E+01 .1323E+01 .3025E+00 .2000E+00
.4700E+03 .1529E+01 .1273E+01 .2889E+00 .2000E+00
.4710E+03 .1554E+01 .1296E+01 .2918E+00 .2000E+00
.4720E+03 .1634E+01 .1364E+01 .3050E+00 .2000E+00
.4730E+03 .1571E+01 .1312E+01 .2913E+00 .2000E+00
.4740E+03 .1587E+01 .1328E+01 .2925E+00 .2000E+00
.4750E+03 .1639E+01 .1373E+01 .3000E+00 .2000E+00
.4760E+03 .1583E+01 .1328E+01 .2877E+00 .2000E+00
.4770E+03 .1592E+01 .1337E+01 .2874E+00 .2000E+00
.4780E+03 .1643E+01 .1382E+01 .2947E+00 .2000E+00
.4790E+03 .1611E+01 .1357E+01 .2871E+00 .2000E+00
.4800E+03 .1637E+01 .1380E+01 .2900E+00 .2000E+00
.4810E+03 .1636E+01 .1381E+01 .2879E+00 .2000E+00
.4820E+03 .1642E+01 .1388E+01 .2872E+00 .2000E+00
.4830E+03 .1622E+01 .1372E+01 .2821E+00 .2000E+00
.4840E+03 .1591E+01 .1347E+01 .2751E+00 .2000E+00
.4850E+03 .1586E+01 .1344E+01 .2727E+00 .2000E+00
.4860E+03 .1285E+01 .1090E+01 .2198E+00 .2000E+00
.4870E+03 .1439E+01 .1222E+01 .2447E+00 .2000E+00
.4880E+03 .1557E+01 .1323E+01 .2631E+00 .2000E+00
.4890E+03 .1467E+01 .1247E+01 .2462E+00 .2000E+00
.4900E+03 .1639E+01 .1395E+01 .2734E+00 .2000E+00
.4910E+03 .1575E+01 .1342E+01 .2612E+00 .2000E+00
.4920E+03 .1501E+01 .1280E+01 .2474E+00 .2000E+00
.4930E+03 .1605E+01 .1370E+01 .2630E+00 .2000E+00
.4940E+03 .1567E+01 .1338E+01 .2552E+00 .2000E+00
.4950E+03 .1663E+01 .1422E+01 .2692E+00 .2000E+00
.4960E+03 .1581E+01 .1353E+01 .2544E+00 .2000E+00
.4970E+03 .1608E+01 .1377E+01 .2570E+00 .2000E+00
.4980E+03 .1563E+01 .1340E+01 .2483E+00 .2000E+00
.4990E+03 .1563E+01 .1341E+01 .2466E+00 .2000E+00
.5000E+03 .1557E+01 .1337E+01 .2440E+00 .2000E+00
.5010E+03 .1511E+01 .1297E+01 .2367E+00 .2000E+00
.5020E+03 .1509E+01 .1297E+01 .2349E+00 .2000E+00
.5030E+03 .1578E+01 .1358E+01 .2439E+00 .2000E+00
.5040E+03 .1470E+01 .1266E+01 .2255E+00 .2000E+00
.5050E+03 .1576E+01 .1358E+01 .2406E+00 .2000E+00
.5060E+03 .1639E+01 .1413E+01 .2488E+00 .2000E+00
.5070E+03 .1568E+01 .1353E+01 .2367E+00 .2000E+00
.5080E+03 .1528E+01 .1319E+01 .2296E+00 .2000E+00
.5090E+03 .1601E+01 .1383E+01 .2394E+00 .2000E+00
.5100E+03 .1559E+01 .1348E+01 .2320E+00 .2000E+00
.5110E+03 .1588E+01 .1373E+01 .2350E+00 .2000E+00
.5120E+03 .1630E+01 .1410E+01 .2399E+00 .2000E+00
.5130E+03 .1531E+01 .1326E+01 .2241E+00 .2000E+00
.5140E+03 .1498E+01 .1298E+01 .2182E+00 .2000E+00
.5150E+03 .1541E+01 .1337E+01 .2231E+00 .2000E+00
.5160E+03 .1555E+01 .1349E+01 .2239E+00 .2000E+00
.5170E+03 .1267E+01 .1100E+01 .1814E+00 .2000E+00
.5180E+03 .1448E+01 .1259E+01 .2063E+00 .2000E+00
.5190E+03 .1403E+01 .1220E+01 .1988E+00 .2000E+00
.5200E+03 .1532E+01 .1333E+01 .2157E+00 .2000E+00
.5210E+03 .1543E+01 .1343E+01 .2160E+00 .2000E+00
.5220E+03 .1577E+01 .1374E+01 .2196E+00 .2000E+00
.5230E+03 .1486E+01 .1296E+01 .2058E+00 .2000E+00
.5240E+03 .1598E+01 .1394E+01 .2199E+00 .2000E+00
.5250E+03 .1585E+01 .1384E+01 .2168E+00 .2000E+00
.5260E+03 .1540E+01 .1346E+01 .2095E+00 .2000E+00
.5270E+03 .1347E+01 .1178E+01 .1821E+00 .2000E+00
.5280E+03 .1542E+01 .1349E+01 .2072E+00 .2000E+00
.5290E+03 .1613E+01 .1412E+01 .2155E+00 .2000E+00
.5300E+03 .1550E+01 .1358E+01 .2059E+00 .2000E+00
.5310E+03 .1634E+01 .1433E+01 .2159E+00 .2000E+00
.5320E+03 .1604E+01 .1407E+01 .2108E+00 .2000E+00
.5330E+03 .1432E+01 .1257E+01 .1872E+00 .2000E+00
.5340E+03 .1534E+01 .1347E+01 .1995E+00 .2000E+00
.5350E+03 .1557E+01 .1368E+01 .2015E+00 .2000E+00
.5360E+03 .1624E+01 .1427E+01 .2091E+00 .2000E+00
.5370E+03 .1502E+01 .1321E+01 .1925E+00 .2000E+00
.5380E+03 .1577E+01 .1388E+01 .2012E+00 .2000E+00
.5390E+03 .1538E+01 .1354E+01 .1952E+00 .2000E+00
.5400E+03 .1485E+01 .1308E+01 .1874E+00 .2000E+00
.5410E+03 .1427E+01 .1258E+01 .1791E+00 .2000E+00
.5420E+03 .1553E+01 .1370E+01 .1939E+00 .2000E+00
.5430E+03 .1527E+01 .1348E+01 .1898E+00 .2000E+00
.5440E+03 .1580E+01 .1395E+01 .1953E+00 .2000E+00
.5450E+03 .1544E+01 .1364E+01 .1899E+00 .2000E+00
.5460E+03 .1530E+01 .1352E+01 .1870E+00 .2000E+00
.5470E+03 .1549E+01 .1370E+01 .1885E+00 .2000E+00
.5480E+03 .1505E+01 .1331E+01 .1823E+00 .2000E+00
.5490E+03 .1552E+01 .1373E+01 .1871E+00 .2000E+00
.5500E+03 .1539E+01 .1363E+01 .1847E+00 .2000E+00
.5510E+03 .1538E+01 .1362E+01 .1835E+00 .2000E+00
.5520E+03 .1569E+01 .1390E+01 .1863E+00 .2000E+00
.5530E+03 .1524E+01 .1351E+01 .1801E+00 .2000E+00
.5540E+03 .1554E+01 .1378E+01 .1826E+00 .2000E+00
.5550E+03 .1562E+01 .1386E+01 .1826E+00 .2000E+00
