Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance RayleighScat_trnsmittnce Ozone_totl_transmittance Trace_gas__transmittance WaterVapor_transmittance Mixed_gas__transmittance Aerosol_tot_transmittnce Global_horizn_irradiance Global_tilted_irradiance
.2880E+03 .1605E-07 .8627E-08 .2402E+00 .2598E-06 .9972E+00 .1000E+01 .9947E+00 .8613E+00 .2432E-07 .8023E-08
.2885E+03 .3547E-07 .1968E-07 .2428E+00 .5436E-06 .9969E+00 .1000E+01 .9948E+00 .8615E+00 .5437E-07 .1805E-07
.2890E+03 .9164E-07 .5270E-07 .2454E+00 .1153E-05 .9965E+00 .1000E+01 .9944E+00 .8617E+00 .1423E-06 .4761E-07
.2895E+03 .2602E-06 .1579E-06 .2480E+00 .2641E-05 .9973E+00 .1000E+01 .9968E+00 .8620E+00 .4124E-06 .1395E-06
.2900E+03 .6065E-06 .3812E-06 .2506E+00 .5173E-05 .9969E+00 .1000E+01 .9990E+00 .8622E+00 .9743E-06 .3319E-06
.2905E+03 .1165E-05 .7466E-06 .2532E+00 .9135E-05 .9966E+00 .1000E+01 .9991E+00 .8624E+00 .1886E-05 .6451E-06
.2910E+03 .2375E-05 .1590E-05 .2558E+00 .1807E-04 .9968E+00 .1000E+01 .9994E+00 .8626E+00 .3913E-05 .1350E-05
.2915E+03 .5507E-05 .3547E-05 .2584E+00 .4282E-04 .9974E+00 .1000E+01 .9993E+00 .8628E+00 .8933E-05 .3060E-05
.2920E+03 .1067E-04 .6867E-05 .2610E+00 .8662E-04 .9967E+00 .1000E+01 .9994E+00 .8630E+00 .1730E-04 .5925E-05
.2925E+03 .1498E-04 .9236E-05 .2636E+00 .1291E-03 .9965E+00 .1000E+01 .9995E+00 .8632E+00 .2388E-04 .8110E-05
.2930E+03 .2552E-04 .1522E-04 .2662E+00 .2138E-03 .9974E+00 .1000E+01 .9996E+00 .8635E+00 .4017E-04 .1355E-04
.2935E+03 .5255E-04 .3094E-04 .2688E+00 .4271E-03 .9976E+00 .1000E+01 .9996E+00 .8637E+00 .8233E-04 .2770E-04
.2940E+03 .8259E-04 .4612E-04 .2714E+00 .6853E-03 .9965E+00 .1000E+01 .9998E+00 .8639E+00 .1269E-03 .4225E-04
.2945E+03 .1157E-03 .7967E-04 .2740E+00 .9742E-03 .9966E+00 .1000E+01 .1000E+01 .8641E+00 .1928E-03 .6700E-04
.2950E+03 .1841E-03 .1350E-03 .2766E+00 .1513E-02 .9976E+00 .1000E+01 .1000E+01 .8643E+00 .3150E-03 .1109E-03
.2955E+03 .3404E-03 .1737E-03 .2792E+00 .2611E-02 .9979E+00 .1000E+01 .1000E+01 .8645E+00 .5066E-03 .1657E-03
.2960E+03 .5136E-03 .2771E-03 .2818E+00 .3813E-02 .9965E+00 .1000E+01 .1000E+01 .8647E+00 .7795E-03 .2579E-03
.2965E+03 .6736E-03 .3843E-03 .2845E+00 .5446E-02 .9968E+00 .1000E+01 .1000E+01 .8649E+00 .1043E-02 .3491E-03
.2970E+03 .8252E-03 .4922E-03 .2871E+00 .7199E-02 .9975E+00 .1000E+01 .1000E+01 .8651E+00 .1299E-02 .4388E-03
.2975E+03 .1367E-02 .8744E-03 .2897E+00 .1067E-01 .9978E+00 .1000E+01 .1000E+01 .8653E+00 .2211E-02 .7576E-03
.2980E+03 .1893E-02 .1283E-02 .2923E+00 .1469E-01 .9963E+00 .1000E+01 .1000E+01 .8655E+00 .3134E-02 .1086E-02
.2985E+03 .2143E-02 .1517E-02 .2949E+00 .1859E-01 .9970E+00 .1000E+01 .1000E+01 .8658E+00 .3613E-02 .1264E-02
.2990E+03 .2714E-02 .2003E-02 .2975E+00 .2311E-01 .9978E+00 .1000E+01 .1000E+01 .8660E+00 .4657E-02 .1643E-02
.2995E+03 .4115E-02 .3277E-02 .3001E+00 .3271E-01 .9980E+00 .1000E+01 .1000E+01 .8662E+00 .7301E-02 .2616E-02
.3000E+03 .4636E-02 .3849E-02 .3027E+00 .4003E-01 .9962E+00 .1000E+01 .1000E+01 .8664E+00 .8383E-02 .3029E-02
.3005E+03 .5268E-02 .4547E-02 .3053E+00 .4764E-01 .9971E+00 .1000E+01 .1000E+01 .8666E+00 .9699E-02 .3535E-02
.3010E+03 .7350E-02 .6769E-02 .3079E+00 .6158E-01 .9980E+00 .1000E+01 .1000E+01 .8668E+00 .1396E-01 .5156E-02
.3015E+03 .9427E-02 .9166E-02 .3105E+00 .7590E-01 .9982E+00 .1000E+01 .1000E+01 .8670E+00 .1839E-01 .6870E-02
.3020E+03 .9869E-02 .9502E-02 .3131E+00 .8392E-01 .9966E+00 .1000E+01 .1000E+01 .8672E+00 .1915E-01 .7149E-02
.3025E+03 .1345E-01 .1269E-01 .3157E+00 .1002E+00 .9971E+00 .1000E+01 .1000E+01 .8674E+00 .2585E-01 .9610E-02
.3030E+03 .2033E-01 .1877E-01 .3183E+00 .1245E+00 .9980E+00 .1000E+01 .1000E+01 .8676E+00 .3865E-01 .1431E-01
.3035E+03 .2448E-01 .2245E-01 .3209E+00 .1408E+00 .9982E+00 .1000E+01 .1000E+01 .8678E+00 .4639E-01 .1716E-01
.3040E+03 .2515E-01 .2293E-01 .3235E+00 .1495E+00 .9972E+00 .1000E+01 .1000E+01 .8680E+00 .4753E-01 .1756E-01
.3045E+03 .2946E-01 .2686E-01 .3260E+00 .1723E+00 .9968E+00 .1000E+01 .1000E+01 .8682E+00 .5567E-01 .2057E-01
.3050E+03 .3668E-01 .3361E-01 .3286E+00 .2073E+00 .9979E+00 .1000E+01 .1000E+01 .8684E+00 .6948E-01 .2569E-01
.3055E+03 .3934E-01 .3604E-01 .3312E+00 .2316E+00 .9984E+00 .1000E+01 .1000E+01 .8686E+00 .7452E-01 .2756E-01
.3060E+03 .3827E-01 .3486E-01 .3338E+00 .2418E+00 .9979E+00 .1000E+01 .1000E+01 .8688E+00 .7229E-01 .2670E-01
.3065E+03 .4196E-01 .3807E-01 .3363E+00 .2587E+00 .9971E+00 .1000E+01 .1000E+01 .8690E+00 .7911E-01 .2920E-01
.3070E+03 .5111E-01 .4655E-01 .3389E+00 .2970E+00 .9977E+00 .1000E+01 .1000E+01 .8692E+00 .9653E-01 .3566E-01
.3075E+03 .6087E-01 .5560E-01 .3415E+00 .3364E+00 .9979E+00 .1000E+01 .1000E+01 .8693E+00 .1151E+00 .4257E-01
.3080E+03 .6411E-01 .5819E-01 .3440E+00 .3439E+00 .9981E+00 .1000E+01 .1000E+01 .8695E+00 .1209E+00 .4464E-01
.3085E+03 .6796E-01 .6887E-01 .3466E+00 .3645E+00 .9975E+00 .1000E+01 .1000E+01 .8697E+00 .1353E+00 .5106E-01
.3090E+03 .6484E-01 .6472E-01 .3492E+00 .3811E+00 .9978E+00 .1000E+01 .1000E+01 .8699E+00 .1281E+00 .4821E-01
.3095E+03 .6402E-01 .6225E-01 .3517E+00 .4330E+00 .9982E+00 .1000E+01 .1000E+01 .8701E+00 .1249E+00 .4674E-01
.3100E+03 .7278E-01 .6966E-01 .3542E+00 .4584E+00 .9981E+00 .1000E+01 .1000E+01 .8703E+00 .1408E+00 .5256E-01
.3105E+03 .9227E-01 .8723E-01 .3568E+00 .4719E+00 .9974E+00 .1000E+01 .1000E+01 .8705E+00 .1775E+00 .6607E-01
.3110E+03 .1136E+00 .1060E+00 .3593E+00 .4933E+00 .9977E+00 .1000E+01 .1000E+01 .8707E+00 .2170E+00 .8060E-01
.3115E+03 .1140E+00 .1052E+00 .3619E+00 .5032E+00 .9981E+00 .1000E+01 .1000E+01 .8709E+00 .2167E+00 .8032E-01
.3120E+03 .1193E+00 .1083E+00 .3644E+00 .5508E+00 .9983E+00 .1000E+01 .1000E+01 .8711E+00 .2250E+00 .8311E-01
.3125E+03 .1218E+00 .1092E+00 .3669E+00 .5835E+00 .9982E+00 .1000E+01 .1000E+01 .8713E+00 .2283E+00 .8414E-01
.3130E+03 .1298E+00 .1150E+00 .3694E+00 .6014E+00 .9980E+00 .1000E+01 .1000E+01 .8714E+00 .2420E+00 .8900E-01
.3135E+03 .1330E+00 .1170E+00 .3719E+00 .5865E+00 .9978E+00 .1000E+01 .1000E+01 .8716E+00 .2471E+00 .9074E-01
.3140E+03 .1415E+00 .1229E+00 .3745E+00 .6256E+00 .9980E+00 .1000E+01 .1000E+01 .8718E+00 .2613E+00 .9575E-01
.3145E+03 .1457E+00 .1251E+00 .3770E+00 .6789E+00 .9981E+00 .1000E+01 .1000E+01 .8720E+00 .2676E+00 .9782E-01
.3150E+03 .1509E+00 .1283E+00 .3795E+00 .6894E+00 .9981E+00 .1000E+01 .1000E+01 .8722E+00 .2759E+00 .1007E+00
.3155E+03 .1352E+00 .1142E+00 .3820E+00 .6644E+00 .9982E+00 .1000E+01 .1000E+01 .8724E+00 .2464E+00 .8981E-01
.3160E+03 .1346E+00 .1125E+00 .3844E+00 .7075E+00 .9984E+00 .1000E+01 .1000E+01 .8726E+00 .2442E+00 .8880E-01
.3165E+03 .1578E+00 .1307E+00 .3869E+00 .7450E+00 .9985E+00 .1000E+01 .1000E+01 .8727E+00 .2850E+00 .1035E+00
.3170E+03 .1808E+00 .1484E+00 .3894E+00 .7452E+00 .9977E+00 .1000E+01 .1000E+01 .8729E+00 .3252E+00 .1180E+00
.3175E+03 .1948E+00 .1587E+00 .3919E+00 .7351E+00 .9976E+00 .1000E+01 .1000E+01 .8731E+00 .3492E+00 .1266E+00
.3180E+03 .1831E+00 .1479E+00 .3944E+00 .7605E+00 .9979E+00 .1000E+01 .1000E+01 .8733E+00 .3270E+00 .1184E+00
.3185E+03 .1842E+00 .1500E+00 .3968E+00 .8088E+00 .9982E+00 .1000E+01 .1000E+01 .8735E+00 .3301E+00 .1199E+00
.3190E+03 .1982E+00 .1615E+00 .3993E+00 .8331E+00 .9984E+00 .1000E+01 .1000E+01 .8737E+00 .3553E+00 .1291E+00
.3195E+03 .1978E+00 .1579E+00 .4017E+00 .7952E+00 .9983E+00 .1000E+01 .1000E+01 .8738E+00 .3514E+00 .1273E+00
.3200E+03 .2088E+00 .1652E+00 .4042E+00 .7895E+00 .9982E+00 .1000E+01 .1000E+01 .8740E+00 .3694E+00 .1337E+00
.3205E+03 .2377E+00 .1895E+00 .4066E+00 .8379E+00 .9982E+00 .1000E+01 .1000E+01 .8742E+00 .4220E+00 .1531E+00
.3210E+03 .2327E+00 .1867E+00 .4090E+00 .8805E+00 .9974E+00 .1000E+01 .1000E+01 .8744E+00 .4143E+00 .1506E+00
.3215E+03 .2212E+00 .1764E+00 .4115E+00 .8852E+00 .9978E+00 .1000E+01 .1000E+01 .8746E+00 .3928E+00 .1427E+00
.3220E+03 .2161E+00 .1686E+00 .4139E+00 .8406E+00 .9981E+00 .1000E+01 .1000E+01 .8747E+00 .3800E+00 .1375E+00
.3225E+03 .2110E+00 .1635E+00 .4163E+00 .8427E+00 .9982E+00 .1000E+01 .1000E+01 .8749E+00 .3699E+00 .1338E+00
.3230E+03 .2004E+00 .1557E+00 .4187E+00 .8721E+00 .9982E+00 .1000E+01 .1000E+01 .8751E+00 .3516E+00 .1273E+00
.3235E+03 .2235E+00 .1809E+00 .4211E+00 .9212E+00 .9982E+00 .1000E+01 .1000E+01 .8753E+00 .3995E+00 .1460E+00
.3240E+03 .2463E+00 .1985E+00 .4235E+00 .9286E+00 .9982E+00 .1000E+01 .1000E+01 .8755E+00 .4394E+00 .1606E+00
.3245E+03 .2586E+00 .2053E+00 .4259E+00 .9110E+00 .9981E+00 .1000E+01 .1000E+01 .8756E+00 .4583E+00 .1671E+00
.3250E+03 .2638E+00 .1993E+00 .4283E+00 .8786E+00 .9974E+00 .1000E+01 .1000E+01 .8758E+00 .4573E+00 .1652E+00
.3255E+03 .3000E+00 .2268E+00 .4307E+00 .9017E+00 .9973E+00 .1000E+01 .1000E+01 .8760E+00 .5202E+00 .1881E+00
.3260E+03 .3416E+00 .2678E+00 .4330E+00 .9338E+00 .9978E+00 .1000E+01 .9999E+00 .8762E+00 .6019E+00 .2193E+00
.3265E+03 .3576E+00 .2808E+00 .4354E+00 .9545E+00 .9980E+00 .1000E+01 .9999E+00 .8763E+00 .6306E+00 .2301E+00
.3270E+03 .3529E+00 .2744E+00 .4377E+00 .9477E+00 .9981E+00 .1000E+01 .9999E+00 .8765E+00 .6195E+00 .2257E+00
.3275E+03 .3450E+00 .2652E+00 .4401E+00 .9381E+00 .9981E+00 .1000E+01 .9999E+00 .8767E+00 .6026E+00 .2193E+00
.3280E+03 .3254E+00 .2453E+00 .4424E+00 .9076E+00 .9981E+00 .1000E+01 .9999E+00 .8768E+00 .5636E+00 .2044E+00
.3285E+03 .3320E+00 .2521E+00 .4448E+00 .9434E+00 .9980E+00 .1000E+01 .9999E+00 .8770E+00 .5768E+00 .2097E+00
.3290E+03 .3682E+00 .2806E+00 .4471E+00 .9679E+00 .9975E+00 .1000E+01 .9999E+00 .8772E+00 .6406E+00 .2332E+00
.3295E+03 .4066E+00 .3085E+00 .4494E+00 .9749E+00 .9972E+00 .1000E+01 .9999E+00 .8774E+00 .7061E+00 .2570E+00
.3300E+03 .4119E+00 .3097E+00 .4517E+00 .9698E+00 .9975E+00 .1000E+01 .9999E+00 .8775E+00 .7124E+00 .2590E+00
.3305E+03 .3819E+00 .2829E+00 .4540E+00 .9515E+00 .9978E+00 .1000E+01 .9999E+00 .8777E+00 .6564E+00 .2381E+00
.3310E+03 .3622E+00 .2657E+00 .4563E+00 .9447E+00 .9979E+00 .1000E+01 .9999E+00 .8779E+00 .6199E+00 .2246E+00
.3315E+03 .3707E+00 .2717E+00 .4586E+00 .9588E+00 .9980E+00 .1000E+01 .9998E+00 .8780E+00 .6342E+00 .2299E+00
.3320E+03 .3794E+00 .2785E+00 .4609E+00 .9774E+00 .9981E+00 .1000E+01 .9998E+00 .8782E+00 .6496E+00 .2357E+00
.3325E+03 .3793E+00 .2775E+00 .4632E+00 .9850E+00 .9979E+00 .1000E+01 .9998E+00 .8784E+00 .6484E+00 .2353E+00
.3330E+03 .3733E+00 .2706E+00 .4655E+00 .9810E+00 .9975E+00 .1000E+01 .9998E+00 .8785E+00 .6356E+00 .2305E+00
.3335E+03 .3597E+00 .2574E+00 .4677E+00 .9681E+00 .9970E+00 .1000E+01 .9998E+00 .8787E+00 .6091E+00 .2204E+00
.3340E+03 .3678E+00 .2611E+00 .4700E+00 .9655E+00 .9973E+00 .1000E+01 .9998E+00 .8789E+00 .6208E+00 .2245E+00
.3345E+03 .3884E+00 .2758E+00 .4722E+00 .9804E+00 .9976E+00 .1000E+01 .9998E+00 .8790E+00 .6557E+00 .2373E+00
.3350E+03 .4018E+00 .2844E+00 .4745E+00 .9881E+00 .9975E+00 .1000E+01 .9997E+00 .8792E+00 .6774E+00 .2452E+00
.3355E+03 .3912E+00 .2985E+00 .4767E+00 .9917E+00 .9978E+00 .1000E+01 .9997E+00 .8794E+00 .6810E+00 .2504E+00
.3360E+03 .3589E+00 .2722E+00 .4789E+00 .9917E+00 .9978E+00 .1000E+01 .9997E+00 .8795E+00 .6231E+00 .2290E+00
.3365E+03 .3336E+00 .2310E+00 .4812E+00 .9846E+00 .9978E+00 .1000E+01 .9997E+00 .8797E+00 .5573E+00 .2013E+00
.3370E+03 .3288E+00 .2256E+00 .4834E+00 .9789E+00 .9978E+00 .1000E+01 .9997E+00 .8799E+00 .5472E+00 .1974E+00
.3375E+03 .3535E+00 .2407E+00 .4856E+00 .9766E+00 .9980E+00 .1000E+01 .9996E+00 .8800E+00 .5865E+00 .2114E+00
.3380E+03 .3789E+00 .2576E+00 .4878E+00 .9877E+00 .9979E+00 .1000E+01 .9996E+00 .8802E+00 .6282E+00 .2265E+00
.3385E+03 .3956E+00 .2857E+00 .4900E+00 .9932E+00 .9964E+00 .1000E+01 .9996E+00 .8804E+00 .6726E+00 .2456E+00
.3390E+03 .4026E+00 .2853E+00 .4921E+00 .9946E+00 .9968E+00 .1000E+01 .9996E+00 .8805E+00 .6791E+00 .2473E+00
.3395E+03 .4128E+00 .2935E+00 .4943E+00 .9935E+00 .9973E+00 .1000E+01 .9995E+00 .8807E+00 .6971E+00 .2542E+00
.3400E+03 .4398E+00 .2914E+00 .4965E+00 .9883E+00 .9976E+00 .1000E+01 .9994E+00 .8808E+00 .7215E+00 .2596E+00
.3405E+03 .4387E+00 .2889E+00 .4986E+00 .9892E+00 .9976E+00 .1000E+01 .9993E+00 .8810E+00 .7180E+00 .2583E+00
.3410E+03 .4110E+00 .2844E+00 .5008E+00 .9943E+00 .9974E+00 .1000E+01 .9991E+00 .8812E+00 .6863E+00 .2495E+00
.3415E+03 .4086E+00 .2751E+00 .5029E+00 .9967E+00 .9973E+00 .1000E+01 .9989E+00 .8813E+00 .6747E+00 .2441E+00
.3420E+03 .4263E+00 .2839E+00 .5051E+00 .9972E+00 .9975E+00 .1000E+01 .9987E+00 .8815E+00 .7008E+00 .2532E+00
.3425E+03 .4422E+00 .2913E+00 .5072E+00 .9978E+00 .9977E+00 .1000E+01 .9986E+00 .8816E+00 .7237E+00 .2611E+00
.3430E+03 .4495E+00 .2976E+00 .5093E+00 .9964E+00 .9977E+00 .1000E+01 .9985E+00 .8818E+00 .7372E+00 .2664E+00
.3435E+03 .4254E+00 .2820E+00 .5114E+00 .9955E+00 .9972E+00 .1000E+01 .9985E+00 .8820E+00 .6981E+00 .2526E+00
.3440E+03 .3691E+00 .2559E+00 .5135E+00 .9899E+00 .9970E+00 .1000E+01 .9985E+00 .8821E+00 .6169E+00 .2253E+00
.3445E+03 .3542E+00 .2363E+00 .5156E+00 .9934E+00 .9972E+00 .1000E+01 .9987E+00 .8823E+00 .5827E+00 .2114E+00
.3450E+03 .4021E+00 .2596E+00 .5177E+00 .9964E+00 .9973E+00 .1000E+01 .9990E+00 .8824E+00 .6528E+00 .2355E+00
.3455E+03 .4284E+00 .2726E+00 .5198E+00 .9974E+00 .9975E+00 .1000E+01 .9993E+00 .8826E+00 .6915E+00 .2489E+00
.3460E+03 .4182E+00 .2631E+00 .5219E+00 .9980E+00 .9974E+00 .1000E+01 .9995E+00 .8827E+00 .6721E+00 .2415E+00
.3465E+03 .4261E+00 .2654E+00 .5240E+00 .9984E+00 .9973E+00 .1000E+01 .9996E+00 .8829E+00 .6821E+00 .2449E+00
.3470E+03 .4335E+00 .2706E+00 .5260E+00 .9975E+00 .9973E+00 .1000E+01 .9997E+00 .8831E+00 .6946E+00 .2496E+00
.3475E+03 .4189E+00 .2608E+00 .5281E+00 .9971E+00 .9974E+00 .1000E+01 .9997E+00 .8832E+00 .6704E+00 .2410E+00
.3480E+03 .4171E+00 .2553E+00 .5301E+00 .9984E+00 .9970E+00 .1000E+01 .9998E+00 .8834E+00 .6633E+00 .2378E+00
.3485E+03 .4245E+00 .2567E+00 .5321E+00 .9990E+00 .9964E+00 .1000E+01 .9998E+00 .8835E+00 .6718E+00 .2405E+00
.3490E+03 .4090E+00 .2454E+00 .5342E+00 .9993E+00 .9967E+00 .1000E+01 .9998E+00 .8837E+00 .6454E+00 .2309E+00
.3495E+03 .4202E+00 .2511E+00 .5362E+00 .9991E+00 .9972E+00 .1000E+01 .9998E+00 .8838E+00 .6621E+00 .2368E+00
.3500E+03 .4644E+00 .2756E+00 .5382E+00 .9992E+00 .9974E+00 .1000E+01 .9997E+00 .8840E+00 .7298E+00 .2609E+00
.3505E+03 .4997E+00 .2947E+00 .5402E+00 .9992E+00 .9973E+00 .1000E+01 .9997E+00 .8841E+00 .7833E+00 .2799E+00
.3510E+03 .4867E+00 .2865E+00 .5422E+00 .9987E+00 .9971E+00 .1000E+01 .9997E+00 .8843E+00 .7625E+00 .2725E+00
.3515E+03 .4690E+00 .2782E+00 .5442E+00 .9971E+00 .9972E+00 .1000E+01 .9997E+00 .8844E+00 .7369E+00 .2640E+00
.3520E+03 .4578E+00 .2676E+00 .5462E+00 .9981E+00 .9973E+00 .1000E+01 .9996E+00 .8846E+00 .7153E+00 .2557E+00
.3525E+03 .4328E+00 .2500E+00 .5482E+00 .9988E+00 .9973E+00 .1000E+01 .9995E+00 .8847E+00 .6733E+00 .2403E+00
.3530E+03 .4601E+00 .2634E+00 .5501E+00 .9992E+00 .9976E+00 .1000E+01 .9995E+00 .8849E+00 .7134E+00 .2543E+00
.3535E+03 .5066E+00 .2877E+00 .5521E+00 .9995E+00 .9974E+00 .1000E+01 .9994E+00 .8850E+00 .7832E+00 .2790E+00
.3540E+03 .5364E+00 .3022E+00 .5540E+00 .9997E+00 .9969E+00 .1000E+01 .9993E+00 .8852E+00 .8268E+00 .2943E+00
.3545E+03 .5425E+00 .3037E+00 .5560E+00 .9997E+00 .9964E+00 .1000E+01 .9992E+00 .8853E+00 .8342E+00 .2968E+00
.3550E+03 .5426E+00 .3024E+00 .5579E+00 .9995E+00 .9963E+00 .1000E+01 .9991E+00 .8855E+00 .8331E+00 .2964E+00
.3555E+03 .5238E+00 .2901E+00 .5598E+00 .9996E+00 .9970E+00 .1000E+01 .9989E+00 .8856E+00 .8023E+00 .2853E+00
.3560E+03 .4915E+00 .2704E+00 .5617E+00 .9997E+00 .9972E+00 .1000E+01 .9987E+00 .8858E+00 .7511E+00 .2669E+00
.3565E+03 .4613E+00 .2522E+00 .5637E+00 .9997E+00 .9970E+00 .1000E+01 .9983E+00 .8859E+00 .7034E+00 .2498E+00
.3570E+03 .4061E+00 .2207E+00 .5656E+00 .9997E+00 .9966E+00 .1000E+01 .9979E+00 .8861E+00 .6179E+00 .2194E+00
.3575E+03 .4113E+00 .2221E+00 .5675E+00 .9997E+00 .9966E+00 .1000E+01 .9974E+00 .8862E+00 .6243E+00 .2215E+00
.3580E+03 .3830E+00 .2055E+00 .5693E+00 .9998E+00 .9969E+00 .1000E+01 .9969E+00 .8864E+00 .5801E+00 .2057E+00
.3585E+03 .3559E+00 .1897E+00 .5712E+00 .9998E+00 .9970E+00 .1000E+01 .9963E+00 .8865E+00 .5378E+00 .1906E+00
.3590E+03 .4189E+00 .2222E+00 .5731E+00 .9998E+00 .9972E+00 .1000E+01 .9957E+00 .8867E+00 .6319E+00 .2239E+00
.3595E+03 .5052E+00 .2670E+00 .5750E+00 .9995E+00 .9971E+00 .1000E+01 .9952E+00 .8868E+00 .7611E+00 .2698E+00
.3600E+03 .5348E+00 .2807E+00 .5768E+00 .9996E+00 .9971E+00 .1000E+01 .9949E+00 .8870E+00 .8037E+00 .2847E+00
.3605E+03 .5057E+00 .2636E+00 .5787E+00 .9997E+00 .9968E+00 .1000E+01 .9949E+00 .8871E+00 .7582E+00 .2684E+00
.3610E+03 .4655E+00 .2412E+00 .5805E+00 .9998E+00 .9966E+00 .1000E+01 .9952E+00 .8872E+00 .6964E+00 .2465E+00
.3615E+03 .4558E+00 .2349E+00 .5823E+00 .9999E+00 .9968E+00 .1000E+01 .9960E+00 .8874E+00 .6807E+00 .2408E+00
.3620E+03 .4778E+00 .2450E+00 .5842E+00 .9999E+00 .9969E+00 .1000E+01 .9970E+00 .8875E+00 .7123E+00 .2520E+00
.3625E+03 .5233E+00 .2670E+00 .5860E+00 .9999E+00 .9968E+00 .1000E+01 .9979E+00 .8877E+00 .7788E+00 .2754E+00
.3630E+03 .5385E+00 .2733E+00 .5878E+00 .9999E+00 .9968E+00 .1000E+01 .9985E+00 .8878E+00 .8000E+00 .2828E+00
.3635E+03 .5239E+00 .2646E+00 .5896E+00 .9999E+00 .9969E+00 .1000E+01 .9990E+00 .8880E+00 .7769E+00 .2747E+00
.3640E+03 .5428E+00 .2727E+00 .5914E+00 .9999E+00 .9970E+00 .1000E+01 .9993E+00 .8881E+00 .8036E+00 .2840E+00
.3645E+03 .5380E+00 .2689E+00 .5932E+00 .9999E+00 .9966E+00 .1000E+01 .9995E+00 .8882E+00 .7950E+00 .2809E+00
.3650E+03 .5590E+00 .2779E+00 .5950E+00 .9999E+00 .9963E+00 .1000E+01 .9997E+00 .8884E+00 .8245E+00 .2912E+00
.3655E+03 .6155E+00 .3043E+00 .5967E+00 .9999E+00 .9962E+00 .1000E+01 .9998E+00 .8885E+00 .9062E+00 .3200E+00
.3660E+03 .6596E+00 .3245E+00 .5985E+00 .9999E+00 .9966E+00 .1000E+01 .9998E+00 .8887E+00 .9696E+00 .3423E+00
.3665E+03 .6611E+00 .3235E+00 .6002E+00 .1000E+01 .9969E+00 .1000E+01 .9999E+00 .8888E+00 .9701E+00 .3424E+00
.3670E+03 .6493E+00 .3160E+00 .6020E+00 .1000E+01 .9967E+00 .1000E+01 .9999E+00 .8890E+00 .9510E+00 .3356E+00
.3675E+03 .6376E+00 .3086E+00 .6037E+00 .1000E+01 .9965E+00 .1000E+01 .9999E+00 .8891E+00 .9322E+00 .3288E+00
.3680E+03 .6008E+00 .2893E+00 .6055E+00 .1000E+01 .9965E+00 .1000E+01 .9999E+00 .8892E+00 .8769E+00 .3093E+00
.3685E+03 .5969E+00 .2860E+00 .6072E+00 .9999E+00 .9966E+00 .1000E+01 .9999E+00 .8894E+00 .8698E+00 .3067E+00
