Wvlgth Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar
.3820E+03 .5773E+00 .4084E+00 .1916E+00
.3825E+03 .4924E+00 .3489E+00 .1627E+00
.3830E+03 .4561E+00 .3238E+00 .1501E+00
.3835E+03 .4396E+00 .3126E+00 .1441E+00
.3840E+03 .4853E+00 .3456E+00 .1584E+00
.3845E+03 .7143E+00 .5096E+00 .2323E+00
.3850E+03 .7089E+00 .5066E+00 .2296E+00
.3855E+03 .6608E+00 .4729E+00 .2132E+00
.3860E+03 .5664E+00 .4060E+00 .1820E+00
.3865E+03 .7446E+00 .5346E+00 .2383E+00
.3870E+03 .6193E+00 .4454E+00 .1974E+00
.3875E+03 .6961E+00 .5014E+00 .2210E+00
.3880E+03 .6432E+00 .4641E+00 .2033E+00
.3885E+03 .6363E+00 .4598E+00 .2004E+00
.3890E+03 .6874E+00 .4975E+00 .2156E+00
.3895E+03 .8331E+00 .6039E+00 .2603E+00
.3900E+03 .8367E+00 .6075E+00 .2603E+00
.3905E+03 .7706E+00 .5603E+00 .2388E+00
.3910E+03 .9077E+00 .6610E+00 .2802E+00
.3915E+03 .9265E+00 .6758E+00 .2848E+00
.3920E+03 .7809E+00 .5705E+00 .2391E+00
.3925E+03 .6996E+00 .5118E+00 .2134E+00
.3930E+03 .3895E+00 .2854E+00 .1183E+00
.3935E+03 .2833E+00 .2079E+00 .8575E-01
.3940E+03 .5769E+00 .4239E+00 .1739E+00
.3945E+03 .7340E+00 .5400E+00 .2205E+00
.3950E+03 .8963E+00 .6603E+00 .2682E+00
.3955E+03 .9112E+00 .6722E+00 .2716E+00
.3960E+03 .7905E+00 .5841E+00 .2347E+00
.3965E+03 .4624E+00 .3421E+00 .1367E+00
.3970E+03 .3472E+00 .2573E+00 .1023E+00
.3975E+03 .7066E+00 .5243E+00 .2074E+00
.3980E+03 .9903E+00 .7358E+00 .2895E+00
.3985E+03 .1024E+01 .7620E+00 .2983E+00
.3990E+03 .1110E+01 .8266E+00 .3220E+00
.3995E+03 .1107E+01 .8255E+00 .3199E+00
.4000E+03 .1150E+01 .8590E+00 .3312E+00
.4010E+03 .1149E+01 .8854E+00 .3009E+00
.4020E+03 .1213E+01 .9375E+00 .3154E+00
.4030E+03 .1154E+01 .8938E+00 .2977E+00
.4040E+03 .1138E+01 .8832E+00 .2913E+00
.4050E+03 .1139E+01 .8862E+00 .2895E+00
.4060E+03 .1122E+01 .8748E+00 .2830E+00
.4070E+03 .1105E+01 .8636E+00 .2766E+00
.4080E+03 .1150E+01 .9005E+00 .2856E+00
.4090E+03 .1233E+01 .9671E+00 .3040E+00
.4100E+03 .1078E+01 .8475E+00 .2641E+00
.4110E+03 .1170E+01 .9209E+00 .2843E+00
.4120E+03 .1257E+01 .9919E+00 .3035E+00
.4130E+03 .1228E+01 .9706E+00 .2942E+00
.4140E+03 .1244E+01 .9856E+00 .2961E+00
.4150E+03 .1249E+01 .9909E+00 .2950E+00
.4160E+03 .1272E+01 .1011E+01 .2983E+00
.4170E+03 .1242E+01 .9896E+00 .2892E+00
.4180E+03 .1221E+01 .9744E+00 .2822E+00
.4190E+03 .1238E+01 .9900E+00 .2841E+00
.4200E+03 .1234E+01 .9887E+00 .2811E+00
.4210E+03 .1293E+01 .1037E+01 .2923E+00
.4220E+03 .1230E+01 .9888E+00 .2761E+00
.4230E+03 .1203E+01 .9687E+00 .2680E+00
.4240E+03 .1274E+01 .1028E+01 .2818E+00
.4250E+03 .1273E+01 .1029E+01 .2796E+00
.4260E+03 .1240E+01 .1004E+01 .2707E+00
.4270E+03 .1218E+01 .9880E+00 .2641E+00
.4280E+03 .1188E+01 .9652E+00 .2559E+00
.4290E+03 .1127E+01 .9163E+00 .2410E+00
.4300E+03 .9867E+00 .8038E+00 .2097E+00
.4310E+03 .9794E+00 .7991E+00 .2066E+00
.4320E+03 .1265E+01 .1034E+01 .2652E+00
.4330E+03 .1274E+01 .1042E+01 .2650E+00
.4340E+03 .1184E+01 .9706E+00 .2447E+00
.4350E+03 .1238E+01 .1016E+01 .2541E+00
.4360E+03 .1396E+01 .1148E+01 .2849E+00
.4370E+03 .1378E+01 .1134E+01 .2795E+00
.4380E+03 .1256E+01 .1035E+01 .2531E+00
.4390E+03 .1301E+01 .1074E+01 .2605E+00
.4400E+03 .1343E+01 .1110E+01 .2672E+00
.4410E+03 .1393E+01 .1153E+01 .2753E+00
.4420E+03 .1495E+01 .1239E+01 .2935E+00
.4430E+03 .1458E+01 .1210E+01 .2844E+00
.4440E+03 .1491E+01 .1239E+01 .2890E+00
.4450E+03 .1460E+01 .1215E+01 .2812E+00
.4460E+03 .1394E+01 .1161E+01 .2669E+00
.4470E+03 .1508E+01 .1258E+01 .2869E+00
.4480E+03 .1534E+01 .1281E+01 .2898E+00
.4490E+03 .1540E+01 .1288E+01 .2892E+00
.4500E+03 .1584E+01 .1327E+01 .2956E+00
.4510E+03 .1645E+01 .1379E+01 .3048E+00
.4520E+03 .1586E+01 .1331E+01 .2921E+00
.4530E+03 .1493E+01 .1254E+01 .2733E+00
.4540E+03 .1559E+01 .1311E+01 .2838E+00
.4550E+03 .1570E+01 .1322E+01 .2840E+00
.4560E+03 .1608E+01 .1356E+01 .2891E+00
.4570E+03 .1636E+01 .1382E+01 .2922E+00
.4580E+03 .1583E+01 .1338E+01 .2808E+00
.4590E+03 .1575E+01 .1333E+01 .2777E+00
.4600E+03 .1581E+01 .1340E+01 .2770E+00
.4610E+03 .1619E+01 .1373E+01 .2819E+00
.4620E+03 .1632E+01 .1386E+01 .2826E+00
.4630E+03 .1623E+01 .1379E+01 .2794E+00
.4640E+03 .1596E+01 .1357E+01 .2735E+00
.4650E+03 .1577E+01 .1342E+01 .2687E+00
.4660E+03 .1593E+01 .1357E+01 .2699E+00
.4670E+03 .1565E+01 .1335E+01 .2635E+00
.4680E+03 .1585E+01 .1353E+01 .2651E+00
.4690E+03 .1594E+01 .1363E+01 .2649E+00
.4700E+03 .1544E+01 .1322E+01 .2552E+00
.4710E+03 .1543E+01 .1322E+01 .2537E+00
.4720E+03 .1627E+01 .1395E+01 .2661E+00
.4730E+03 .1608E+01 .1380E+01 .2613E+00
.4740E+03 .1612E+01 .1385E+01 .2603E+00
.4750E+03 .1627E+01 .1399E+01 .2612E+00
.4760E+03 .1580E+01 .1360E+01 .2520E+00
.4770E+03 .1587E+01 .1367E+01 .2514E+00
.4780E+03 .1631E+01 .1407E+01 .2569E+00
.4790E+03 .1622E+01 .1401E+01 .2539E+00
.4800E+03 .1626E+01 .1405E+01 .2531E+00
.4810E+03 .1657E+01 .1433E+01 .2563E+00
.4820E+03 .1666E+01 .1442E+01 .2563E+00
.4830E+03 .1646E+01 .1426E+01 .2519E+00
.4840E+03 .1613E+01 .1399E+01 .2456E+00
.4850E+03 .1538E+01 .1334E+01 .2329E+00
.4860E+03 .1345E+01 .1167E+01 .2026E+00
.4870E+03 .1410E+01 .1225E+01 .2113E+00
.4880E+03 .1548E+01 .1346E+01 .2307E+00
.4890E+03 .1555E+01 .1352E+01 .2303E+00
.4900E+03 .1637E+01 .1424E+01 .2411E+00
.4910E+03 .1610E+01 .1401E+01 .2358E+00
.4920E+03 .1521E+01 .1325E+01 .2216E+00
.4930E+03 .1572E+01 .1371E+01 .2278E+00
.4940E+03 .1589E+01 .1386E+01 .2289E+00
.4950E+03 .1604E+01 .1400E+01 .2298E+00
.4960E+03 .1614E+01 .1410E+01 .2301E+00
.4970E+03 .1641E+01 .1434E+01 .2326E+00
.4980E+03 .1565E+01 .1369E+01 .2206E+00
.4990E+03 .1587E+01 .1388E+01 .2223E+00
.5000E+03 .1542E+01 .1350E+01 .2147E+00
.5010E+03 .1515E+01 .1328E+01 .2097E+00
.5020E+03 .1496E+01 .1312E+01 .2056E+00
.5030E+03 .1559E+01 .1368E+01 .2129E+00
.5040E+03 .1523E+01 .1337E+01 .2064E+00
.5050E+03 .1577E+01 .1385E+01 .2128E+00
.5060E+03 .1629E+01 .1431E+01 .2188E+00
.5070E+03 .1551E+01 .1364E+01 .2072E+00
.5080E+03 .1503E+01 .1322E+01 .1999E+00
.5090E+03 .1545E+01 .1360E+01 .2046E+00
.5100E+03 .1537E+01 .1353E+01 .2027E+00
.5110E+03 .1579E+01 .1390E+01 .2072E+00
.5120E+03 .1597E+01 .1407E+01 .2085E+00
.5130E+03 .1513E+01 .1333E+01 .1965E+00
.5140E+03 .1503E+01 .1325E+01 .1943E+00
.5150E+03 .1489E+01 .1313E+01 .1915E+00
.5160E+03 .1486E+01 .1312E+01 .1902E+00
.5170E+03 .1321E+01 .1167E+01 .1683E+00
.5180E+03 .1390E+01 .1228E+01 .1762E+00
.5190E+03 .1459E+01 .1290E+01 .1840E+00
.5200E+03 .1513E+01 .1338E+01 .1897E+00
.5210E+03 .1528E+01 .1352E+01 .1906E+00
.5220E+03 .1530E+01 .1354E+01 .1899E+00
.5230E+03 .1504E+01 .1332E+01 .1858E+00
.5240E+03 .1560E+01 .1382E+01 .1916E+00
.5250E+03 .1580E+01 .1400E+01 .1931E+00
.5260E+03 .1511E+01 .1339E+01 .1837E+00
.5270E+03 .1424E+01 .1264E+01 .1722E+00
.5280E+03 .1507E+01 .1338E+01 .1812E+00
.5290E+03 .1590E+01 .1411E+01 .1901E+00
.5300E+03 .1568E+01 .1393E+01 .1866E+00
.5310E+03 .1593E+01 .1415E+01 .1887E+00
.5320E+03 .1540E+01 .1368E+01 .1815E+00
.5330E+03 .1496E+01 .1330E+01 .1755E+00
.5340E+03 .1540E+01 .1370E+01 .1800E+00
.5350E+03 .1574E+01 .1400E+01 .1831E+00
.5360E+03 .1589E+01 .1414E+01 .1840E+00
.5370E+03 .1527E+01 .1359E+01 .1760E+00
.5380E+03 .1555E+01 .1384E+01 .1784E+00
.5390E+03 .1543E+01 .1375E+01 .1764E+00
.5400E+03 .1480E+01 .1319E+01 .1685E+00
.5410E+03 .1492E+01 .1330E+01 .1690E+00
.5420E+03 .1540E+01 .1374E+01 .1735E+00
.5430E+03 .1525E+01 .1360E+01 .1711E+00
.5440E+03 .1553E+01 .1385E+01 .1735E+00
.5450E+03 .1549E+01 .1382E+01 .1723E+00
.5460E+03 .1556E+01 .1389E+01 .1722E+00
.5470E+03 .1554E+01 .1388E+01 .1713E+00
.5480E+03 .1536E+01 .1372E+01 .1685E+00
.5490E+03 .1542E+01 .1377E+01 .1685E+00
.5500E+03 .1562E+01 .1396E+01 .1700E+00
.5510E+03 .1544E+01 .1380E+01 .1673E+00
.5520E+03 .1555E+01 .1391E+01 .1677E+00
.5530E+03 .1528E+01 .1367E+01 .1640E+00
.5540E+03 .1565E+01 .1401E+01 .1672E+00
.5550E+03 .1569E+01 .1404E+01 .1668E+00
.5560E+03 .1549E+01 .1387E+01 .1639E+00
.5570E+03 .1502E+01 .1345E+01 .1581E+00
.5580E+03 .1491E+01 .1336E+01 .1561E+00
.5590E+03 .1464E+01 .1313E+01 .1525E+00
.5600E+03 .1484E+01 .1331E+01 .1538E+00
.5610E+03 .1505E+01 .1350E+01 .1552E+00
.5620E+03 .1495E+01 .1342E+01 .1534E+00
.5630E+03 .1538E+01 .1381E+01 .1570E+00
.5640E+03 .1497E+01 .1345E+01 .1521E+00
.5650E+03 .1485E+01 .1335E+01 .1502E+00
.5660E+03 .1465E+01 .1317E+01 .1473E+00
.5670E+03 .1493E+01 .1343E+01 .1495E+00
.5680E+03 .1482E+01 .1334E+01 .1475E+00
.5690E+03 .1450E+01 .1305E+01 .1434E+00
.5700E+03 .1450E+01 .1306E+01 .1428E+00
.5710E+03 .1442E+01 .1298E+01 .1414E+00
.5720E+03 .1479E+01 .1332E+01 .1442E+00
.5730E+03 .1495E+01 .1348E+01 .1452E+00
.5740E+03 .1492E+01 .1345E+01 .1442E+00
.5750E+03 .1465E+01 .1321E+01 .1410E+00
.5760E+03 .1452E+01 .1310E+01 .1392E+00
.5770E+03 .1468E+01 .1324E+01 .1402E+00
.5780E+03 .1446E+01 .1305E+01 .1376E+00
.5790E+03 .1451E+01 .1310E+01 .1378E+00
.5800E+03 .1478E+01 .1334E+01 .1399E+00
.5810E+03 .1485E+01 .1340E+01 .1402E+00
.5820E+03 .1513E+01 .1365E+01 .1424E+00
.5830E+03 .1517E+01 .1369E+01 .1424E+00
.5840E+03 .1530E+01 .1382E+01 .1432E+00
.5850E+03 .1493E+01 .1348E+01 .1393E+00
.5860E+03 .1462E+01 .1321E+01 .1358E+00
.5870E+03 .1494E+01 .1350E+01 .1380E+00
.5880E+03 .1460E+01 .1320E+01 .1339E+00
.5890E+03 .1297E+01 .1174E+01 .1177E+00
.5900E+03 .1357E+01 .1228E+01 .1228E+00
.5910E+03 .1434E+01 .1297E+01 .1297E+00
.5920E+03 .1419E+01 .1285E+01 .1276E+00
.5930E+03 .1439E+01 .1303E+01 .1291E+00
.5940E+03 .1432E+01 .1297E+01 .1278E+00
.5950E+03 .1400E+01 .1268E+01 .1242E+00
.5960E+03 .1450E+01 .1313E+01 .1287E+00
.5970E+03 .1437E+01 .1302E+01 .1269E+00
.5980E+03 .1433E+01 .1299E+01 .1262E+00
.5990E+03 .1436E+01 .1301E+01 .1260E+00
.6000E+03 .1438E+01 .1303E+01 .1259E+00
.6010E+03 .1425E+01 .1292E+01 .1244E+00
.6020E+03 .1415E+01 .1283E+01 .1231E+00
.6030E+03 .1438E+01 .1304E+01 .1246E+00
.6040E+03 .1461E+01 .1325E+01 .1261E+00
.6050E+03 .1454E+01 .1319E+01 .1251E+00
.6060E+03 .1450E+01 .1316E+01 .1245E+00
.6070E+03 .1467E+01 .1330E+01 .1256E+00
.6080E+03 .1452E+01 .1317E+01 .1239E+00
.6090E+03 .1455E+01 .1320E+01 .1238E+00
.6100E+03 .1444E+01 .1310E+01 .1225E+00
.6110E+03 .1452E+01 .1318E+01 .1228E+00
.6120E+03 .1448E+01 .1314E+01 .1221E+00
.6130E+03 .1429E+01 .1297E+01 .1201E+00
.6140E+03 .1410E+01 .1280E+01 .1181E+00
.6150E+03 .1441E+01 .1308E+01 .1204E+00
.6160E+03 .1394E+01 .1266E+01 .1162E+00
.6170E+03 .1391E+01 .1264E+01 .1156E+00
.6180E+03 .1445E+01 .1312E+01 .1197E+00
.6190E+03 .1430E+01 .1299E+01 .1181E+00
.6200E+03 .1438E+01 .1307E+01 .1183E+00
.6210E+03 .1438E+01 .1306E+01 .1178E+00
.6220E+03 .1410E+01 .1282E+01 .1149E+00
.6230E+03 .1379E+01 .1253E+01 .1117E+00
.6240E+03 .1360E+01 .1237E+01 .1099E+00
.6250E+03 .1367E+01 .1243E+01 .1103E+00
.6260E+03 .1390E+01 .1264E+01 .1119E+00
.6270E+03 .1408E+01 .1281E+01 .1129E+00
.6280E+03 .1330E+01 .1211E+01 .1049E+00
.6290E+03 .1382E+01 .1258E+01 .1096E+00
.6300E+03 .1352E+01 .1231E+01 .1069E+00
.6310E+03 .1381E+01 .1257E+01 .1093E+00
.6320E+03 .1367E+01 .1243E+01 .1079E+00
.6330E+03 .1410E+01 .1283E+01 .1113E+00
.6340E+03 .1397E+01 .1270E+01 .1101E+00
.6350E+03 .1418E+01 .1290E+01 .1115E+00
.6360E+03 .1398E+01 .1272E+01 .1097E+00
.6370E+03 .1420E+01 .1292E+01 .1111E+00
.6380E+03 .1433E+01 .1304E+01 .1119E+00
.6390E+03 .1418E+01 .1290E+01 .1105E+00
.6400E+03 .1405E+01 .1279E+01 .1092E+00
.6410E+03 .1405E+01 .1278E+01 .1089E+00
.6420E+03 .1399E+01 .1273E+01 .1082E+00
.6430E+03 .1418E+01 .1290E+01 .1094E+00
.6440E+03 .1414E+01 .1286E+01 .1088E+00
.6450E+03 .1417E+01 .1290E+01 .1087E+00
.6460E+03 .1387E+01 .1262E+01 .1058E+00
.6470E+03 .1374E+01 .1251E+01 .1042E+00
.6480E+03 .1377E+01 .1254E+01 .1039E+00
.6490E+03 .1351E+01 .1231E+01 .1017E+00
.6500E+03 .1353E+01 .1232E+01 .1021E+00
.6510E+03 .1412E+01 .1285E+01 .1063E+00
.6520E+03 .1358E+01 .1238E+01 .1013E+00
.6530E+03 .1394E+01 .1269E+01 .1043E+00
.6540E+03 .1378E+01 .1255E+01 .1028E+00
.6550E+03 .1329E+01 .1211E+01 .9858E-01
